variant_id,model_family,feature_mode,feature_count,selection_rule,selection_threshold,view,split,rows,days,trade_count,trades_per_day,net_proxy,gross_profit,gross_loss,proxy_pf,win_rate,avg_win,avg_loss,payoff_ratio,expectancy,max_drawdown,recovery_factor,time_under_water_bars,max_consecutive_loss,long_count,short_count,side_min_share,regime_coverage_count,adverse_first_share,no_event_share,avg_first_hit_bar,avg_bracket_return,random_net_proxy_mean,random_proxy_pf_mean,random_max_drawdown_mean
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_a_separate,validation,9836,183,1869,10.213115,-0.37826568,1.04208644,1.42035212,0.733682,0.500803,0.00111334,-0.00152235,0.73133,-0.00020239,0.40088129,-0.943585,1847,15,741,1128,0.396469,27,0.486891,0.024077,2.206689,0.0012098,-0.3206475,0.74895,0.33695929
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_a_separate,oos,7575,131,2592,19.78626,-0.43480498,1.02208152,1.45688651,0.701552,0.484182,0.00081441,-0.00108967,0.74739,-0.00016775,0.44398628,-0.979321,2578,18,854,1738,0.329475,27,0.489583,0.042052,2.444623,0.0009521,-0.33799707,0.782064,0.35020696
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_b_separate,train,8963,555,916,1.65045,-0.01701425,0.36349726,0.3805115,0.955286,0.578603,0.00068584,-0.00098578,0.695736,-1.857e-05,0.04918133,-0.345949,883,9,506,410,0.447598,22,0.412664,0.016376,2.785794,0.00082787,-0.13524204,0.722184,0.14409225
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_b_separate,validation,2361,148,533,3.601351,-0.04420031,0.18049653,0.22469684,0.803289,0.529081,0.00064006,-0.00089521,0.714984,-8.293e-05,0.05584794,-0.79144,523,11,199,334,0.373358,21,0.420263,0.078799,3.553971,0.00081382,-0.05305731,0.783625,0.06380949
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_b_separate,oos,1058,120,432,3.6,-0.05303654,0.14998624,0.20302278,0.738766,0.511574,0.00067867,-0.00096219,0.705337,-0.00012277,0.06156284,-0.861503,429,13,136,296,0.314815,23,0.449074,0.083333,3.118687,0.00084429,-0.02349727,0.882786,0.04496578
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_ab_combined,train,38180,579,3055,5.276339,-0.29473671,1.287481,1.58221772,0.813719,0.53617,0.00078601,-0.0011166,0.703932,-9.648e-05,0.33251763,-0.886379,3035,14,1507,1548,0.49329,27,0.457938,0.012111,2.315772,0.00093363,-0.32723637,0.814827,0.36454603
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_ab_combined,validation,12198,185,2402,12.983784,-0.42246599,1.22258297,1.64504896,0.743189,0.507077,0.00100376,-0.0013894,0.722444,-0.00017588,0.44736696,-0.944339,2382,16,940,1462,0.391341,27,0.472107,0.03622,2.492441,0.00112193,-0.3673276,0.755614,0.38620852
logreg_first_hit_full58_q92,logistic_hazard,full58,58,train_score_quantile,0.31510602208225524,tier_ab_combined,oos,8634,131,3025,23.091603,-0.48925155,1.17183775,1.6610893,0.705463,0.487934,0.00079393,-0.00107236,0.740354,-0.00016174,0.50008284,-0.978341,3009,18,990,2035,0.327273,27,0.483967,0.047934,2.540625,0.00093665,-0.30729957,0.821945,0.32961998
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_a_separate,train,29217,573,2215,3.86562,-0.24313232,0.84442579,1.08755811,0.776442,0.539503,0.00070663,-0.00106623,0.662737,-0.00010977,0.24684333,-0.984966,2213,12,1274,941,0.424831,24,0.456433,0.007675,2.412193,0.00084727,-0.18570486,0.856321,0.21704455
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_a_separate,validation,9836,183,894,4.885246,-0.15347992,0.29782541,0.45130533,0.65992,0.480984,0.00069262,-0.00097264,0.7121,-0.00017168,0.15756849,-0.974052,894,13,440,454,0.49217,21,0.5,0.034676,3.232908,0.00084726,-0.11053716,0.812319,0.12715777
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_a_separate,oos,7575,131,981,7.48855,-0.18310181,0.30440573,0.48750754,0.624412,0.477064,0.00065044,-0.00095031,0.684452,-0.00018665,0.1981331,-0.924135,958,19,592,389,0.396534,21,0.472987,0.086646,3.552455,0.00083406,-0.13919032,0.765145,0.15076989
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_b_separate,train,8963,555,1603,2.888288,-0.04453852,0.61577692,0.66031544,0.93255,0.5733,0.00067005,-0.00096537,0.694085,-2.778e-05,0.07231225,-0.615919,1572,14,1022,581,0.362445,21,0.419838,0.012477,2.993683,0.0008131,-0.12801352,0.836941,0.15778363
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_b_separate,validation,2361,148,682,4.608108,-0.07348411,0.21470432,0.28818843,0.745014,0.501466,0.00062779,-0.00084761,0.740657,-0.00010775,0.07568099,-0.970972,680,15,352,330,0.483871,13,0.416422,0.115836,4.069652,0.00080196,-0.09949278,0.695146,0.1058054
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_b_separate,oos,1058,120,275,2.291667,-0.02566769,0.09556348,0.12123118,0.788275,0.523636,0.00066364,-0.00092543,0.717111,-9.334e-05,0.03713531,-0.691194,271,13,137,138,0.498182,16,0.432727,0.138182,4.168776,0.00080935,-0.02572472,0.809076,0.03426973
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_ab_combined,train,38180,579,3818,6.594128,-0.28767084,1.46020271,1.74787355,0.835417,0.553693,0.00069073,-0.00102575,0.673392,-7.535e-05,0.29598137,-0.971922,3812,17,2296,1522,0.398638,24,0.441069,0.009691,2.655647,0.00083292,-0.34671456,0.839914,0.37633226
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_ab_combined,validation,12198,185,1576,8.518919,-0.22696404,0.51252973,0.73949376,0.693082,0.489848,0.0006639,-0.00091977,0.721811,-0.00014401,0.22956404,-0.988674,1576,17,792,784,0.497462,21,0.463832,0.069797,3.57708,0.00082766,-0.22335535,0.771621,0.23813823
extra_trees_first_hit_regime_q90,extra_trees_hazard,regime_dense,21,train_score_quantile,0.1772576449875697,tier_ab_combined,oos,8634,131,1257,9.59542,-0.2081195,0.40061921,0.60873871,0.658114,0.487669,0.00065354,-0.00094525,0.691395,-0.00016557,0.22662156,-0.918357,1230,20,730,527,0.419252,21,0.463803,0.097852,3.688713,0.00082863,-0.17146193,0.768942,0.18022551
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_a_separate,train,29217,573,3134,5.469459,0.00227185,2.26912759,2.26685574,1.001002,0.552967,0.00130936,-0.00161803,0.809235,7.2e-07,0.11520041,0.019721,3059,15,2522,612,0.195278,47,0.421506,0.054882,1.636394,0.00126095,-0.31675732,0.829048,0.33898297
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_a_separate,validation,9836,183,1588,8.677596,-0.51516909,1.16260244,1.67777152,0.692944,0.482997,0.00151578,-0.00204357,0.741731,-0.00032441,0.52763101,-0.976381,1578,12,1284,304,0.191436,45,0.482368,0.058564,1.626756,0.00154962,-0.27913169,0.742151,0.29985669
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_a_separate,oos,7575,131,1252,9.557252,-0.1926726,0.69670682,0.88937942,0.783363,0.504792,0.00110238,-0.00143448,0.768489,-0.00015389,0.20348534,-0.946862,1243,9,1026,226,0.180511,42,0.458466,0.063099,1.810742,0.00114678,-0.1694938,0.774543,0.18730465
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_b_separate,train,8963,555,685,1.234234,-0.08564286,0.37512004,0.46076291,0.814128,0.550365,0.00099501,-0.00149598,0.665123,-0.00012503,0.10438702,-0.820436,684,11,549,136,0.19854,47,0.407299,0.083212,2.316879,0.00091922,-0.07181837,0.79494,0.07965801
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_b_separate,validation,2361,148,167,1.128378,-0.02253178,0.06776498,0.09029676,0.75047,0.502994,0.00080673,-0.00108791,0.741536,-0.00013492,0.03631366,-0.620477,161,10,133,34,0.203593,31,0.443114,0.095808,3.072848,0.00088975,-0.0217936,0.734719,0.02792691
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_b_separate,oos,1058,120,116,0.966667,0.01120782,0.05562017,0.04441235,1.252358,0.568966,0.00084273,-0.00088825,0.948756,9.662e-05,0.00734262,1.526407,100,6,91,25,0.215517,32,0.37931,0.103448,2.961538,0.00089551,-0.00717966,0.885846,0.01645584
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_ab_combined,train,38180,579,3818,6.594128,-0.08242101,2.64424763,2.72666864,0.969772,0.552645,0.0012532,-0.00159641,0.78501,-2.159e-05,0.14200538,-0.580408,3801,15,3070,748,0.195914,48,0.418806,0.059979,1.755085,0.00119976,-0.3992385,0.818398,0.43291852
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_ab_combined,validation,12198,185,1755,9.486486,-0.53770086,1.23036742,1.76806828,0.695882,0.4849,0.00144579,-0.00195583,0.739222,-0.00030638,0.55688936,-0.965543,1740,14,1417,338,0.192593,46,0.478632,0.062108,1.759417,0.00148683,-0.27023258,0.758192,0.28981803
ridge_signed_hit_edge_full58_q90,ridge_signed_hit_edge,full58,58,train_score_quantile,9.45594511294931e-05,tier_ab_combined,oos,8634,131,1368,10.442748,-0.18146478,0.75232698,0.93379177,0.805669,0.510234,0.00107783,-0.00139372,0.77335,-0.00013265,0.20391401,-0.889908,1356,8,1117,251,0.18348,47,0.451754,0.06652,1.904464,0.00112547,-0.17674263,0.780231,0.19153811
