record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,queue_id,source_queue_id,axis_id,candidate_id,candidate_alias,candidate_role,test_id,test_type,priority,materialization_boundary
mt5_ta_s264_aia_abl_volatility_bandwidth_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_11_s264_aia_abl_volatility_bandwidth,run267N_15_s264_aia_abl_volatility_bandwidth,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_abl_volatility_bandwidth_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_11_s264_aia_abl_volatility_bandwidth,run267N_15_s264_aia_abl_volatility_bandwidth,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aia_rep_volatility_atr_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_12_s264_aia_rep_volatility_atr,run267N_19_s264_aia_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_rep_volatility_atr_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_12_s264_aia_rep_volatility_atr,run267N_19_s264_aia_rep_volatility_atr,run267S_axis01_pool_wide_variant_distinguishability,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aia_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_13_s264_aia_abl_trend_strength_direction,run267N_16_s264_aia_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_13_s264_aia_abl_trend_strength_direction,run267N_16_s264_aia_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aia_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_14_s264_aia_rep_trend_strength_adx,run267N_18_s264_aia_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_14_s264_aia_rep_trend_strength_adx,run267N_18_s264_aia_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s258_stc_abl_volatility_bandwidth_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_15_s258_stc_abl_volatility_bandwidth,run267N_21_s258_stc_abl_volatility_bandwidth,run267S_axis01_pool_wide_variant_distinguishability,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s258_stc_abl_volatility_bandwidth_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,236.31,1.3,454,0.52,77.87,12.88,3.03,905,905,0,59283,11651,11651,run267t_15_s258_stc_abl_volatility_bandwidth,run267N_21_s258_stc_abl_volatility_bandwidth,run267S_axis01_pool_wide_variant_distinguishability,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s258_stc_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_16_s258_stc_abl_trend_strength_direction,run267N_22_s258_stc_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s258_stc_abl_trend_strength_direction_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_16_s258_stc_abl_trend_strength_direction,run267N_22_s258_stc_abl_trend_strength_direction,run267S_axis02_non_calendar_weak_slice_resilience,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s258_stc_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_17_s258_stc_rep_trend_strength_adx,run267N_24_s258_stc_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s258_stc_rep_trend_strength_adx_run267t_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,177.49,1.2,486,0.37,77.24,12.68,2.3,969,969,0,59283,11651,11651,run267t_17_s258_stc_rep_trend_strength_adx,run267N_24_s258_stc_rep_trend_strength_adx,run267S_axis02_non_calendar_weak_slice_resilience,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),P0,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
