side,pnl,entry_hour,entry_month,entry_quarter,source
long,-2.37,17,2025-02,2025Q1,parent_kept(부모 유지)
long,4.41,18,2025-02,2025Q1,parent_kept(부모 유지)
long,2.76,20,2025-02,2025Q1,parent_kept(부모 유지)
short,-2.66,17,2025-02,2025Q1,parent_kept(부모 유지)
short,-2.31,21,2025-02,2025Q1,parent_kept(부모 유지)
short,5.88,17,2025-02,2025Q1,synthetic_short(합성 숏)
long,1.53,18,2025-02,2025Q1,parent_kept(부모 유지)
long,3.63,19,2025-02,2025Q1,parent_kept(부모 유지)
long,-2.78,20,2025-02,2025Q1,parent_kept(부모 유지)
short,21.143,17,2025-02,2025Q1,synthetic_short(합성 숏)
short,3.293,17,2025-02,2025Q1,synthetic_short(합성 숏)
long,-1.83,20,2025-02,2025Q1,parent_kept(부모 유지)
long,2.39,16,2025-02,2025Q1,parent_kept(부모 유지)
long,6.78,17,2025-02,2025Q1,parent_kept(부모 유지)
long,0.29,18,2025-02,2025Q1,parent_kept(부모 유지)
long,-2.25,18,2025-02,2025Q1,parent_kept(부모 유지)
long,-7.76,19,2025-02,2025Q1,parent_kept(부모 유지)
short,9.17,20,2025-02,2025Q1,parent_kept(부모 유지)
long,-8.209999999999999,22,2025-02,2025Q1,parent_kept(부모 유지)
short,-9.15,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-7.61,18,2025-02,2025Q1,parent_kept(부모 유지)
long,-1.62,18,2025-02,2025Q1,parent_kept(부모 유지)
short,-7.982,19,2025-02,2025Q1,synthetic_short(합성 숏)
long,-0.25,20,2025-02,2025Q1,parent_kept(부모 유지)
short,25.52,21,2025-02,2025Q1,parent_kept(부모 유지)
long,8.28,16,2025-02,2025Q1,parent_kept(부모 유지)
long,5.76,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-5.9,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-16.75,19,2025-02,2025Q1,parent_kept(부모 유지)
short,-13.18,20,2025-02,2025Q1,parent_kept(부모 유지)
long,29.79,21,2025-02,2025Q1,parent_kept(부모 유지)
short,-8.145,17,2025-03,2025Q1,synthetic_short(합성 숏)
short,2.605,20,2025-03,2025Q1,synthetic_short(합성 숏)
short,-5.47,17,2025-03,2025Q1,synthetic_short(합성 숏)
short,-1.107,17,2025-03,2025Q1,synthetic_short(합성 숏)
short,7.22,19,2025-03,2025Q1,parent_kept(부모 유지)
short,-0.358,19,2025-03,2025Q1,synthetic_short(합성 숏)
short,-0.53,20,2025-03,2025Q1,parent_kept(부모 유지)
short,4.48,18,2025-03,2025Q1,parent_kept(부모 유지)
short,4.49,18,2025-03,2025Q1,parent_kept(부모 유지)
short,4.717,19,2025-03,2025Q1,synthetic_short(합성 숏)
short,-1.48,17,2025-03,2025Q1,parent_kept(부모 유지)
short,-1.907,19,2025-03,2025Q1,synthetic_short(합성 숏)
short,4.068,17,2025-03,2025Q1,synthetic_short(합성 숏)
short,7.393,17,2025-03,2025Q1,synthetic_short(합성 숏)
short,-4.57,18,2025-03,2025Q1,parent_kept(부모 유지)
short,-2.97,19,2025-03,2025Q1,synthetic_short(합성 숏)
long,-1.86,17,2025-04,2025Q2,parent_kept(부모 유지)
long,13.76,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-1.02,18,2025-04,2025Q2,parent_kept(부모 유지)
long,3.38,18,2025-04,2025Q2,parent_kept(부모 유지)
long,-2.95,19,2025-04,2025Q2,parent_kept(부모 유지)
long,-15.02,16,2025-04,2025Q2,parent_kept(부모 유지)
long,-5.13,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-0.6,17,2025-04,2025Q2,parent_kept(부모 유지)
short,-4.75,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-5.7,16,2025-04,2025Q2,parent_kept(부모 유지)
long,-11.33,18,2025-04,2025Q2,parent_kept(부모 유지)
long,3.29,18,2025-04,2025Q2,parent_kept(부모 유지)
short,7.417,19,2025-04,2025Q2,synthetic_short(합성 숏)
long,33.88,16,2025-04,2025Q2,parent_kept(부모 유지)
long,29.2,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-42.71,18,2025-04,2025Q2,parent_kept(부모 유지)
long,-23.95,18,2025-04,2025Q2,parent_kept(부모 유지)
long,-1.01,19,2025-04,2025Q2,parent_kept(부모 유지)
long,21.37,20,2025-04,2025Q2,parent_kept(부모 유지)
long,8.42,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-21.76,21,2025-04,2025Q2,parent_kept(부모 유지)
short,-0.66,18,2025-04,2025Q2,parent_kept(부모 유지)
short,25.48,19,2025-04,2025Q2,parent_kept(부모 유지)
short,18.53,20,2025-04,2025Q2,parent_kept(부모 유지)
long,2.06,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-11.21,21,2025-04,2025Q2,parent_kept(부모 유지)
long,-3.75,16,2025-04,2025Q2,parent_kept(부모 유지)
long,4.82,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-7.27,18,2025-04,2025Q2,parent_kept(부모 유지)
long,9.98,18,2025-04,2025Q2,parent_kept(부모 유지)
long,7.29,19,2025-04,2025Q2,parent_kept(부모 유지)
long,102.29,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-12.1,16,2025-04,2025Q2,parent_kept(부모 유지)
long,-5.97,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-18.65,18,2025-04,2025Q2,parent_kept(부모 유지)
short,31.81,18,2025-04,2025Q2,parent_kept(부모 유지)
short,-30.07,19,2025-04,2025Q2,parent_kept(부모 유지)
long,-6.26,20,2025-04,2025Q2,parent_kept(부모 유지)
long,9.38,20,2025-04,2025Q2,parent_kept(부모 유지)
long,32.47,21,2025-04,2025Q2,parent_kept(부모 유지)
long,2.49,21,2025-04,2025Q2,parent_kept(부모 유지)
long,-27.0,16,2025-04,2025Q2,parent_kept(부모 유지)
long,-2.8,17,2025-04,2025Q2,parent_kept(부모 유지)
long,12.49,18,2025-04,2025Q2,parent_kept(부모 유지)
long,15.63,19,2025-04,2025Q2,parent_kept(부모 유지)
long,-4.52,19,2025-04,2025Q2,parent_kept(부모 유지)
long,15.27,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-8.97,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-2.82,21,2025-04,2025Q2,parent_kept(부모 유지)
long,4.88,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-10.78,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-6.93,18,2025-04,2025Q2,parent_kept(부모 유지)
short,11.78,18,2025-04,2025Q2,parent_kept(부모 유지)
long,-2.92,19,2025-04,2025Q2,parent_kept(부모 유지)
long,1.42,20,2025-04,2025Q2,parent_kept(부모 유지)
long,6.92,20,2025-04,2025Q2,parent_kept(부모 유지)
long,1.64,21,2025-04,2025Q2,parent_kept(부모 유지)
long,3.8,22,2025-04,2025Q2,parent_kept(부모 유지)
long,-9.43,17,2025-04,2025Q2,parent_kept(부모 유지)
long,3.94,17,2025-04,2025Q2,parent_kept(부모 유지)
long,3.03,18,2025-04,2025Q2,parent_kept(부모 유지)
long,0.07,19,2025-04,2025Q2,parent_kept(부모 유지)
long,-9.42,19,2025-04,2025Q2,parent_kept(부모 유지)
long,1.86,21,2025-04,2025Q2,parent_kept(부모 유지)
long,-8.62,16,2025-04,2025Q2,parent_kept(부모 유지)
long,0.87,17,2025-04,2025Q2,parent_kept(부모 유지)
long,4.13,18,2025-04,2025Q2,parent_kept(부모 유지)
short,-1.08,20,2025-04,2025Q2,parent_kept(부모 유지)
short,-16.89,21,2025-04,2025Q2,parent_kept(부모 유지)
long,-12.55,16,2025-04,2025Q2,parent_kept(부모 유지)
long,7.59,17,2025-04,2025Q2,parent_kept(부모 유지)
long,-5.3,18,2025-04,2025Q2,parent_kept(부모 유지)
long,10.52,19,2025-04,2025Q2,parent_kept(부모 유지)
long,-1.17,19,2025-04,2025Q2,parent_kept(부모 유지)
long,-2.23,20,2025-04,2025Q2,parent_kept(부모 유지)
long,4.78,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-6.22,21,2025-04,2025Q2,parent_kept(부모 유지)
short,3.78,17,2025-04,2025Q2,parent_kept(부모 유지)
long,5.93,16,2025-04,2025Q2,parent_kept(부모 유지)
long,5.53,17,2025-04,2025Q2,parent_kept(부모 유지)
long,4.84,17,2025-04,2025Q2,parent_kept(부모 유지)
long,16.04,18,2025-04,2025Q2,parent_kept(부모 유지)
long,-4.37,19,2025-04,2025Q2,parent_kept(부모 유지)
long,-19.33,20,2025-04,2025Q2,parent_kept(부모 유지)
short,-9.26,20,2025-04,2025Q2,parent_kept(부모 유지)
long,3.41,21,2025-04,2025Q2,parent_kept(부모 유지)
long,67.33000000000001,22,2025-04,2025Q2,parent_kept(부모 유지)
long,-14.51,18,2025-04,2025Q2,parent_kept(부모 유지)
short,5.04,18,2025-04,2025Q2,parent_kept(부모 유지)
short,-4.45,19,2025-04,2025Q2,parent_kept(부모 유지)
long,12.16,19,2025-04,2025Q2,parent_kept(부모 유지)
long,-2.65,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-5.32,21,2025-04,2025Q2,parent_kept(부모 유지)
long,0.99,21,2025-04,2025Q2,parent_kept(부모 유지)
long,3.14,20,2025-04,2025Q2,parent_kept(부모 유지)
long,3.51,21,2025-04,2025Q2,parent_kept(부모 유지)
long,3.77,16,2025-04,2025Q2,parent_kept(부모 유지)
long,-0.2,17,2025-04,2025Q2,parent_kept(부모 유지)
long,1.18,18,2025-04,2025Q2,parent_kept(부모 유지)
long,6.02,18,2025-04,2025Q2,parent_kept(부모 유지)
long,6.92,19,2025-04,2025Q2,parent_kept(부모 유지)
long,7.98,20,2025-04,2025Q2,parent_kept(부모 유지)
long,1.12,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-0.43,21,2025-04,2025Q2,parent_kept(부모 유지)
long,-8.46,16,2025-04,2025Q2,parent_kept(부모 유지)
long,-1.81,17,2025-04,2025Q2,parent_kept(부모 유지)
short,-2.87,18,2025-04,2025Q2,parent_kept(부모 유지)
long,6.76,20,2025-04,2025Q2,parent_kept(부모 유지)
long,3.96,21,2025-04,2025Q2,parent_kept(부모 유지)
long,-0.68,16,2025-04,2025Q2,parent_kept(부모 유지)
long,1.51,17,2025-04,2025Q2,parent_kept(부모 유지)
long,3.31,18,2025-04,2025Q2,parent_kept(부모 유지)
long,-0.23,18,2025-04,2025Q2,parent_kept(부모 유지)
long,-7.3,19,2025-04,2025Q2,parent_kept(부모 유지)
long,0.64,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-2.7,21,2025-04,2025Q2,parent_kept(부모 유지)
short,-18.857,17,2025-04,2025Q2,synthetic_short(합성 숏)
long,7.89,18,2025-04,2025Q2,parent_kept(부모 유지)
long,-1.77,20,2025-04,2025Q2,parent_kept(부모 유지)
long,-2.77,21,2025-04,2025Q2,parent_kept(부모 유지)
long,44.69,21,2025-04,2025Q2,parent_kept(부모 유지)
long,12.42,17,2025-05,2025Q2,parent_kept(부모 유지)
long,6.63,17,2025-05,2025Q2,parent_kept(부모 유지)
long,-2.31,18,2025-05,2025Q2,parent_kept(부모 유지)
long,-6.71,18,2025-05,2025Q2,parent_kept(부모 유지)
long,-2.03,20,2025-05,2025Q2,parent_kept(부모 유지)
long,7.13,20,2025-05,2025Q2,parent_kept(부모 유지)
long,-0.36,21,2025-05,2025Q2,parent_kept(부모 유지)
long,6.42,21,2025-05,2025Q2,parent_kept(부모 유지)
long,5.12,17,2025-05,2025Q2,parent_kept(부모 유지)
long,-0.8,17,2025-05,2025Q2,parent_kept(부모 유지)
long,1.02,18,2025-05,2025Q2,parent_kept(부모 유지)
long,5.54,18,2025-05,2025Q2,parent_kept(부모 유지)
long,0.79,19,2025-05,2025Q2,parent_kept(부모 유지)
long,0.07,20,2025-05,2025Q2,parent_kept(부모 유지)
long,4.98,20,2025-05,2025Q2,parent_kept(부모 유지)
long,-18.32,21,2025-05,2025Q2,parent_kept(부모 유지)
long,2.34,17,2025-05,2025Q2,parent_kept(부모 유지)
long,1.94,17,2025-05,2025Q2,parent_kept(부모 유지)
long,-2.23,17,2025-05,2025Q2,parent_kept(부모 유지)
long,-4.7,18,2025-05,2025Q2,parent_kept(부모 유지)
long,-3.75,21,2025-05,2025Q2,parent_kept(부모 유지)
long,6.92,16,2025-05,2025Q2,parent_kept(부모 유지)
long,-11.51,17,2025-05,2025Q2,parent_kept(부모 유지)
short,2.41,18,2025-05,2025Q2,parent_kept(부모 유지)
short,-12.35,21,2025-05,2025Q2,parent_kept(부모 유지)
long,30.2,21,2025-05,2025Q2,parent_kept(부모 유지)
long,20.44,18,2025-05,2025Q2,parent_kept(부모 유지)
long,0.21,18,2025-05,2025Q2,parent_kept(부모 유지)
long,3.02,19,2025-05,2025Q2,parent_kept(부모 유지)
long,-3.8,20,2025-05,2025Q2,parent_kept(부모 유지)
long,-1.65,20,2025-05,2025Q2,parent_kept(부모 유지)
long,4.38,21,2025-05,2025Q2,parent_kept(부모 유지)
long,0.54,16,2025-05,2025Q2,parent_kept(부모 유지)
long,-0.08,17,2025-05,2025Q2,parent_kept(부모 유지)
long,1.24,18,2025-05,2025Q2,parent_kept(부모 유지)
long,-1.22,18,2025-05,2025Q2,parent_kept(부모 유지)
long,4.58,19,2025-05,2025Q2,parent_kept(부모 유지)
long,0.81,20,2025-05,2025Q2,parent_kept(부모 유지)
long,-4.37,16,2025-05,2025Q2,parent_kept(부모 유지)
long,-0.06,17,2025-05,2025Q2,parent_kept(부모 유지)
long,0.62,18,2025-05,2025Q2,parent_kept(부모 유지)
long,-8.91,19,2025-05,2025Q2,parent_kept(부모 유지)
long,-7.319999999999999,21,2025-05,2025Q2,parent_kept(부모 유지)
long,-0.46,17,2025-05,2025Q2,parent_kept(부모 유지)
long,9.41,17,2025-05,2025Q2,parent_kept(부모 유지)
long,3.36,18,2025-05,2025Q2,parent_kept(부모 유지)
long,-2.65,21,2025-05,2025Q2,parent_kept(부모 유지)
long,3.98,22,2025-05,2025Q2,parent_kept(부모 유지)
long,-6.23,17,2025-05,2025Q2,parent_kept(부모 유지)
long,8.22,16,2025-05,2025Q2,parent_kept(부모 유지)
long,-3.53,17,2025-05,2025Q2,parent_kept(부모 유지)
long,0.86,18,2025-05,2025Q2,parent_kept(부모 유지)
long,-0.58,18,2025-05,2025Q2,parent_kept(부모 유지)
long,5.83,19,2025-05,2025Q2,parent_kept(부모 유지)
long,1.73,21,2025-05,2025Q2,parent_kept(부모 유지)
long,-5.96,16,2025-05,2025Q2,parent_kept(부모 유지)
long,1.28,17,2025-05,2025Q2,parent_kept(부모 유지)
long,1.58,16,2025-05,2025Q2,parent_kept(부모 유지)
long,10.86,17,2025-05,2025Q2,parent_kept(부모 유지)
short,0.88,20,2025-05,2025Q2,synthetic_short(합성 숏)
long,10.72,16,2025-05,2025Q2,parent_kept(부모 유지)
long,-1.67,17,2025-05,2025Q2,parent_kept(부모 유지)
long,2.08,18,2025-05,2025Q2,parent_kept(부모 유지)
long,0.08,19,2025-05,2025Q2,parent_kept(부모 유지)
long,-1.16,17,2025-05,2025Q2,parent_kept(부모 유지)
long,1.86,18,2025-05,2025Q2,parent_kept(부모 유지)
short,-4.933,17,2025-05,2025Q2,synthetic_short(합성 숏)
long,-1.53,17,2025-05,2025Q2,parent_kept(부모 유지)
long,-15.26,18,2025-05,2025Q2,parent_kept(부모 유지)
long,2.79,16,2025-05,2025Q2,parent_kept(부모 유지)
long,0.86,17,2025-05,2025Q2,parent_kept(부모 유지)
long,-3.22,18,2025-05,2025Q2,parent_kept(부모 유지)
short,-3.508,19,2025-05,2025Q2,synthetic_short(합성 숏)
long,5.61,20,2025-05,2025Q2,parent_kept(부모 유지)
long,-3.81,22,2025-05,2025Q2,parent_kept(부모 유지)
long,4.46,17,2025-06,2025Q2,parent_kept(부모 유지)
long,3.02,17,2025-06,2025Q2,parent_kept(부모 유지)
long,2.34,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-2.52,19,2025-06,2025Q2,parent_kept(부모 유지)
long,3.18,19,2025-06,2025Q2,parent_kept(부모 유지)
long,1.44,16,2025-06,2025Q2,parent_kept(부모 유지)
long,-9.6,16,2025-06,2025Q2,parent_kept(부모 유지)
long,0.31,17,2025-06,2025Q2,parent_kept(부모 유지)
long,-2.93,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-0.82,18,2025-06,2025Q2,parent_kept(부모 유지)
long,5.48,17,2025-06,2025Q2,parent_kept(부모 유지)
long,4.87,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-4.8,18,2025-06,2025Q2,parent_kept(부모 유지)
long,14.48,22,2025-06,2025Q2,parent_kept(부모 유지)
long,-4.83,17,2025-06,2025Q2,parent_kept(부모 유지)
long,2.09,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-5.31,19,2025-06,2025Q2,parent_kept(부모 유지)
long,5.49,19,2025-06,2025Q2,parent_kept(부모 유지)
long,5.28,16,2025-06,2025Q2,parent_kept(부모 유지)
long,-0.7,18,2025-06,2025Q2,parent_kept(부모 유지)
long,1.22,17,2025-06,2025Q2,parent_kept(부모 유지)
long,4.89,19,2025-06,2025Q2,parent_kept(부모 유지)
long,4.54,17,2025-06,2025Q2,parent_kept(부모 유지)
long,-2.75,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-6.43,18,2025-06,2025Q2,parent_kept(부모 유지)
long,4.73,19,2025-06,2025Q2,parent_kept(부모 유지)
long,-6.7,21,2025-06,2025Q2,parent_kept(부모 유지)
long,3.06,16,2025-06,2025Q2,parent_kept(부모 유지)
long,1.93,17,2025-06,2025Q2,parent_kept(부모 유지)
long,-3.87,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-7.27,16,2025-06,2025Q2,parent_kept(부모 유지)
long,0.64,17,2025-06,2025Q2,parent_kept(부모 유지)
long,5.33,18,2025-06,2025Q2,parent_kept(부모 유지)
long,1.99,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-2.83,19,2025-06,2025Q2,parent_kept(부모 유지)
long,-2.27,19,2025-06,2025Q2,parent_kept(부모 유지)
long,1.52,20,2025-06,2025Q2,parent_kept(부모 유지)
long,5.73,16,2025-06,2025Q2,parent_kept(부모 유지)
long,1.38,17,2025-06,2025Q2,parent_kept(부모 유지)
long,-0.97,19,2025-06,2025Q2,parent_kept(부모 유지)
long,1.21,19,2025-06,2025Q2,parent_kept(부모 유지)
long,-3.8,17,2025-06,2025Q2,parent_kept(부모 유지)
long,-1.45,18,2025-06,2025Q2,parent_kept(부모 유지)
long,4.97,16,2025-06,2025Q2,parent_kept(부모 유지)
long,-2.3,17,2025-06,2025Q2,parent_kept(부모 유지)
short,-4.01,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-5.57,18,2025-06,2025Q2,parent_kept(부모 유지)
long,-2.1,19,2025-06,2025Q2,parent_kept(부모 유지)
long,4.27,20,2025-06,2025Q2,parent_kept(부모 유지)
long,-7.96,21,2025-06,2025Q2,parent_kept(부모 유지)
long,9.28,16,2025-06,2025Q2,parent_kept(부모 유지)
