run_id,candidate_id,candidate_alias,candidate_role,intervention_id,design_links,weakness_axis,weakness_bucket,counterfactual_action,baseline_trade_count,baseline_net_profit,baseline_profit_factor,baseline_expectancy,baseline_dd_percent,kept_trade_count,kept_net_profit,kept_profit_factor,kept_expectancy,kept_dd_percent,removed_trade_count,removed_net_profit,removed_profit_factor,trade_retention,net_delta,pf_delta,dd_percent_delta,counterfactual_read
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,cf_remove_monday,d06_monday_session_timing_ablation,weekday,Monday,remove trades closed on Monday,352,44.49,1.024065,0.126392,39.081551,292,197.82,1.134027,0.677466,24.154501,60,-153.33,0.588718,0.829545,153.33,0.109963,-14.92705,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,remove trades whose close attribution is vol_low,352,44.49,1.024065,0.126392,39.081551,254,334.06,1.31862,1.315197,20.143275,98,-289.57,0.638182,0.721591,289.57,0.294555,-18.938276,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,cf_remove_vol_low_or_july,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress,compound,vol_low_or_2024_07,remove trades that are vol_low or closed in 2024-07,352,44.49,1.024065,0.126392,39.081551,229,346.22,1.365269,1.511878,16.942374,123,-301.73,0.665091,0.650568,301.73,0.341204,-22.139177,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,cf_remove_vol_low_or_late,d01_vol_low_volatility_bandwidth_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_late,remove trades that are vol_low or late session,352,44.49,1.024065,0.126392,39.081551,214,397.28,1.561082,1.856449,10.954767,138,-352.79,0.69073,0.607955,352.79,0.537018,-28.126784,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,remove trades closed in 2024-07,354,87.07,1.046009,0.24596,35.503222,318,202.95,1.122467,0.638208,21.544299,36,-115.88,0.507439,0.898305,115.88,0.076458,-13.958923,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,cf_remove_all_common_weak_axes,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress;d06_monday_session_timing_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_2024_07_or_Monday_or_late,remove trades touching any common weak axis,354,87.07,1.046009,0.24596,35.503222,160,420.76,1.813597,2.62975,8.395832,194,-333.69,0.757366,0.451977,333.69,0.767588,-27.10739,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,remove trades attributed to late session,354,87.07,1.046009,0.24596,35.503222,309,228.61,1.155998,0.739838,21.704797,45,-141.54,0.668501,0.872881,141.54,0.109988,-13.798426,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,cf_remove_monday,d06_monday_session_timing_ablation,weekday,Monday,remove trades closed on Monday,354,87.07,1.046009,0.24596,35.503222,293,233.22,1.154899,0.795973,22.990445,61,-146.15,0.622166,0.827684,146.15,0.108889,-12.512777,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,remove trades whose close attribution is vol_low,354,87.07,1.046009,0.24596,35.503222,256,354.47,1.326559,1.384648,19.233502,98,-267.4,0.668637,0.723164,267.4,0.28055,-16.269721,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,cf_remove_vol_low_or_july,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress,compound,vol_low_or_2024_07,remove trades that are vol_low or closed in 2024-07,354,87.07,1.046009,0.24596,35.503222,231,367.86,1.375008,1.592468,15.989648,123,-280.79,0.691947,0.652542,280.79,0.328998,-19.513574,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,cf_remove_vol_low_or_late,d01_vol_low_volatility_bandwidth_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_late,remove trades that are vol_low or late session,354,87.07,1.046009,0.24596,35.503222,216,422.15,1.576424,1.954398,11.14625,138,-335.08,0.711158,0.610169,335.08,0.530415,-24.356973,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_high_quarter,s264_aih,core_challenger,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,remove trades closed in 2024-07,353,95.56,1.050106,0.270708,35.284867,317,212.81,1.127526,0.671325,21.315557,36,-117.25,0.508159,0.898017,117.25,0.07742,-13.969309,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_high_quarter,s264_aih,core_challenger,cf_remove_all_common_weak_axes,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress;d06_monday_session_timing_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_2024_07_or_Monday_or_late,remove trades touching any common weak axis,353,95.56,1.050106,0.270708,35.284867,160,427.39,1.819728,2.671187,8.450008,193,-331.83,0.760545,0.453258,331.83,0.769622,-26.834858,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_high_quarter,s264_aih,core_challenger,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,remove trades attributed to late session,353,95.56,1.050106,0.270708,35.284867,308,240.45,1.163045,0.780682,21.782691,45,-144.89,0.664917,0.872521,144.89,0.112938,-13.502176,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_high_quarter,s264_aih,core_challenger,cf_remove_monday,d06_monday_session_timing_ablation,weekday,Monday,remove trades closed on Monday,353,95.56,1.050106,0.270708,35.284867,292,242.93,1.160286,0.831952,23.032007,61,-147.37,0.623624,0.827195,147.37,0.11018,-12.25286,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_high_quarter,s264_aih,core_challenger,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,remove trades whose close attribution is vol_low,353,95.56,1.050106,0.270708,35.284867,256,358.55,1.326712,1.400586,19.585759,97,-262.99,0.675201,0.725212,262.99,0.276606,-15.699108,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_high_quarter,s264_aih,core_challenger,cf_remove_vol_low_or_july,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress,compound,vol_low_or_2024_07,remove trades that are vol_low or closed in 2024-07,353,95.56,1.050106,0.270708,35.284867,231,372.15,1.375549,1.611039,16.185401,122,-276.59,0.698112,0.654391,276.59,0.325443,-19.099466,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_allow_inner_high_quarter,s264_aih,core_challenger,cf_remove_vol_low_or_late,d01_vol_low_volatility_bandwidth_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_late,remove trades that are vol_low or late session,353,95.56,1.050106,0.270708,35.284867,216,428.19,1.578401,1.982361,11.248384,137,-332.63,0.714933,0.611898,332.63,0.528294,-24.036483,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_lowrank_control,s264_lc,defensive_control,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,remove trades closed in 2024-07,350,71.34,1.038612,0.203829,36.172154,314,184.55,1.114118,0.587739,22.396632,36,-113.21,0.50868,0.897143,113.21,0.075506,-13.775523,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_lowrank_control,s264_lc,defensive_control,cf_remove_all_common_weak_axes,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress;d06_monday_session_timing_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_2024_07_or_Monday_or_late,remove trades touching any common weak axis,350,71.34,1.038612,0.203829,36.172154,158,404.13,1.796928,2.557785,8.161964,192,-332.79,0.751742,0.451429,332.79,0.758316,-28.010191,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_lowrank_control,s264_lc,defensive_control,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,remove trades attributed to late session,350,71.34,1.038612,0.203829,36.172154,305,209.65,1.146562,0.687377,21.865334,45,-138.31,0.668449,0.871429,138.31,0.10795,-14.306821,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_lowrank_control,s264_lc,defensive_control,cf_remove_monday,d06_monday_session_timing_ablation,weekday,Monday,remove trades closed on Monday,350,71.34,1.038612,0.203829,36.172154,290,226.8,1.154421,0.782069,22.594612,60,-155.46,0.589707,0.828571,155.46,0.115809,-13.577543,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_lowrank_control,s264_lc,defensive_control,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,remove trades whose close attribution is vol_low,350,71.34,1.038612,0.203829,36.172154,254,338.71,1.318615,1.333504,20.310344,96,-267.37,0.659202,0.725714,267.37,0.280003,-15.86181,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_lowrank_control,s264_lc,defensive_control,cf_remove_vol_low_or_july,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress,compound,vol_low_or_2024_07,remove trades that are vol_low or closed in 2024-07,350,71.34,1.038612,0.203829,36.172154,229,351.7,1.366194,1.535808,17.058816,121,-280.36,0.683991,0.654286,280.36,0.327582,-19.113338,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s264_lowrank_control,s264_lc,defensive_control,cf_remove_vol_low_or_late,d01_vol_low_volatility_bandwidth_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_late,remove trades that are vol_low or late session,350,71.34,1.038612,0.203829,36.172154,214,404.02,1.56199,1.887944,10.954767,136,-332.68,0.705254,0.611429,332.68,0.523378,-25.217388,overpruned_not_candidate_solution
