rule_id,split,month,full_trade_count,full_net_profit,full_profit_factor,month_trade_count,month_trade_share,month_net_profit,month_net_share,month_positive_net_share,month_profit_factor,leave_one_out_trade_count,leave_one_out_net_profit,leave_one_out_profit_factor,leave_one_out_status
exclude_adx_20_25,validation,2025-04,64,245.95,2.259087,1,0.015625,9.72,0.03952,0.038722,,63,236.23,2.209327,pass
exclude_adx_20_25,validation,2025-05,64,245.95,2.259087,8,0.125,46.76,0.19012,0.18628,2.599726,56,199.19,2.199145,pass
exclude_adx_20_25,validation,2025-06,64,245.95,2.259087,13,0.203125,27.85,0.113234,0.110947,1.695728,51,218.1,2.404288,pass
exclude_adx_20_25,validation,2025-07,64,245.95,2.259087,14,0.21875,36.1,0.146778,0.143813,2.298094,50,209.85,2.252611,pass
exclude_adx_20_25,validation,2025-08,64,245.95,2.259087,5,0.078125,11.26,0.045782,0.044857,1.720871,59,234.69,2.305865,pass
exclude_adx_20_25,validation,2025-09,64,245.95,2.259087,10,0.15625,78.59,0.319536,0.313083,6.851824,54,167.36,1.920015,pass
exclude_vol_high,oos,2025-10,44,96.34,1.403637,12,0.272727,75.35,0.782126,0.5,2.544374,32,20.99,1.110538,pass
exclude_vol_high,oos,2025-11,44,96.34,1.403637,3,0.068182,24.48,0.2541,0.162442,1.827027,41,71.86,1.343696,pass
exclude_vol_high,oos,2025-12,44,96.34,1.403637,8,0.181818,-15.06,-0.156321,0.0,0.557319,36,111.4,1.544317,pass
exclude_vol_high,oos,2026-01,44,96.34,1.403637,10,0.227273,-4.28,-0.044426,0.0,0.905016,34,100.62,1.519678,pass
exclude_vol_high,oos,2026-02,44,96.34,1.403637,2,0.045455,44.08,0.457546,0.292502,,42,52.26,1.218954,pass
exclude_vol_high,oos,2026-03,44,96.34,1.403637,4,0.090909,-35.02,-0.363504,0.0,0.421061,40,131.36,1.737191,pass
exclude_vol_high,oos,2026-04,44,96.34,1.403637,5,0.113636,6.79,0.07048,0.045056,1.327703,39,89.55,1.410855,pass
exclude_vol_high,validation,2025-01,72,173.37,1.642992,6,0.083333,38.82,0.223914,0.183485,1.917948,66,134.55,1.591845,pass
exclude_vol_high,validation,2025-02,72,173.37,1.642992,7,0.097222,-7.6,-0.043837,0.0,0.724238,65,180.97,1.747594,pass
exclude_vol_high,validation,2025-03,72,173.37,1.642992,3,0.041667,-12.13,-0.069966,0.0,0.239498,69,185.5,1.731236,pass
exclude_vol_high,validation,2025-05,72,173.37,1.642992,8,0.111111,48.08,0.277326,0.227253,2.644885,64,125.29,1.521173,pass
exclude_vol_high,validation,2025-06,72,173.37,1.642992,14,0.194444,23.1,0.133241,0.109184,1.515855,58,150.27,1.668312,pass
exclude_vol_high,validation,2025-07,72,173.37,1.642992,12,0.166667,22.7,0.130934,0.107293,1.816253,60,150.67,1.623067,pass
exclude_vol_high,validation,2025-08,72,173.37,1.642992,8,0.111111,-18.47,-0.106535,0.0,0.634691,64,191.84,1.875702,pass
exclude_vol_high,validation,2025-09,72,173.37,1.642992,14,0.194444,78.87,0.454923,0.372784,3.50779,58,94.5,1.396759,pass
exclude_vol_high_or_adx_20_25,oos,2025-10,32,78.42,1.541089,11,0.34375,73.51,0.937388,0.66555,2.506661,21,4.91,1.051071,pass
exclude_vol_high_or_adx_20_25,oos,2025-11,32,78.42,1.541089,1,0.03125,23.34,0.297628,0.211317,,31,55.08,1.380046,pass
exclude_vol_high_or_adx_20_25,oos,2025-12,32,78.42,1.541089,6,0.1875,-4.69,-0.059806,0.0,0.801691,26,83.11,1.685274,pass
exclude_vol_high_or_adx_20_25,oos,2026-01,32,78.42,1.541089,8,0.25,-9.47,-0.12076,0.0,0.789836,24,87.89,1.880044,pass
exclude_vol_high_or_adx_20_25,oos,2026-02,32,78.42,1.541089,1,0.03125,13.6,0.173425,0.123133,,31,64.82,1.44725,pass
exclude_vol_high_or_adx_20_25,oos,2026-03,32,78.42,1.541089,2,0.0625,-11.68,-0.148942,0.0,0.241558,30,90.1,1.695592,pass
exclude_vol_high_or_adx_20_25,oos,2026-04,32,78.42,1.541089,3,0.09375,-6.19,-0.078934,0.0,0.485453,29,84.61,1.636644,pass
exclude_vol_high_or_adx_20_25,validation,2025-01,59,211.31,2.081755,6,0.101695,38.82,0.183711,0.179407,1.917948,53,172.49,2.127017,pass
exclude_vol_high_or_adx_20_25,validation,2025-02,59,211.31,2.081755,5,0.084746,-5.07,-0.023993,0.0,0.797443,54,216.38,2.270507,pass
exclude_vol_high_or_adx_20_25,validation,2025-03,59,211.31,2.081755,2,0.033898,1.92,0.009086,0.008873,2.010526,57,209.39,2.082455,pass
exclude_vol_high_or_adx_20_25,validation,2025-05,59,211.31,2.081755,7,0.118644,46.05,0.217926,0.21282,2.575436,52,165.26,1.994883,pass
exclude_vol_high_or_adx_20_25,validation,2025-06,59,211.31,2.081755,13,0.220339,27.85,0.131797,0.128709,1.695728,46,183.46,2.18125,pass
exclude_vol_high_or_adx_20_25,validation,2025-07,59,211.31,2.081755,11,0.186441,11.89,0.056268,0.05495,1.427544,48,199.42,2.190354,pass
exclude_vol_high_or_adx_20_25,validation,2025-08,59,211.31,2.081755,5,0.084746,11.26,0.053287,0.052038,1.720871,54,200.05,2.11312,pass
exclude_vol_high_or_adx_20_25,validation,2025-09,59,211.31,2.081755,10,0.169492,78.59,0.371918,0.363204,6.851824,49,132.72,1.729592,pass
keep_late_or_vol_mid,oos,2025-10,26,152.73,2.132004,5,0.192308,111.28,0.728606,0.573165,,21,41.45,1.307219,pass
keep_late_or_vol_mid,oos,2025-11,26,152.73,2.132004,3,0.115385,24.48,0.160283,0.126088,1.827027,23,128.25,2.217717,pass
keep_late_or_vol_mid,oos,2025-12,26,152.73,2.132004,5,0.192308,1.33,0.008708,0.00685,1.098811,21,151.4,2.246501,pass
keep_late_or_vol_mid,oos,2026-01,26,152.73,2.132004,5,0.192308,-6.4,-0.041904,0.0,0.717813,21,159.13,2.417766,pass
keep_late_or_vol_mid,oos,2026-02,26,152.73,2.132004,2,0.076923,44.08,0.288614,0.227041,,24,108.65,1.805292,pass
keep_late_or_vol_mid,oos,2026-03,26,152.73,2.132004,4,0.153846,-35.02,-0.229294,0.0,0.421061,22,187.75,3.522504,pass
keep_late_or_vol_mid,oos,2026-04,26,152.73,2.132004,2,0.076923,12.98,0.084987,0.066856,2.493671,24,139.75,2.107106,pass
keep_late_or_vol_mid,validation,2025-01,40,178.76,2.224467,5,0.125,65.23,0.364903,0.296042,5.107683,35,113.53,1.872569,pass
keep_late_or_vol_mid,validation,2025-02,40,178.76,2.224467,3,0.075,14.59,0.081618,0.066216,16.197917,37,164.17,2.131973,pass
keep_late_or_vol_mid,validation,2025-03,40,178.76,2.224467,2,0.05,-15.95,-0.089226,0.0,0.0,38,194.71,2.497309,pass
keep_late_or_vol_mid,validation,2025-05,40,178.76,2.224467,4,0.1,62.53,0.349799,0.283789,6.121212,36,116.23,1.868814,pass
keep_late_or_vol_mid,validation,2025-06,40,178.76,2.224467,8,0.2,-22.32,-0.12486,0.0,0.46743,32,201.08,2.931975,pass
keep_late_or_vol_mid,validation,2025-07,40,178.76,2.224467,5,0.125,16.07,0.089897,0.072933,2.513183,35,162.69,2.201817,pass
keep_late_or_vol_mid,validation,2025-08,40,178.76,2.224467,5,0.125,-3.31,-0.018516,0.0,0.906073,35,182.07,2.643973,pass
keep_late_or_vol_mid,validation,2025-09,40,178.76,2.224467,8,0.2,61.92,0.346386,0.28102,5.683812,32,116.84,1.880018,pass
keep_vol_mid_or_late_not_adx_20_25,oos,2025-10,16,128.54,3.534806,4,0.25,109.44,0.851408,0.736771,,12,19.1,1.376652,pass
keep_vol_mid_or_late_not_adx_20_25,oos,2025-11,16,128.54,3.534806,1,0.0625,23.34,0.181578,0.157129,,15,105.2,3.074542,pass
keep_vol_mid_or_late_not_adx_20_25,oos,2025-12,16,128.54,3.534806,4,0.25,2.16,0.016804,0.014542,1.171021,12,126.38,4.318803,pass
keep_vol_mid_or_late_not_adx_20_25,oos,2026-01,16,128.54,3.534806,4,0.25,-8.32,-0.064727,0.0,0.633157,12,136.86,5.882626,pass
keep_vol_mid_or_late_not_adx_20_25,oos,2026-02,16,128.54,3.534806,1,0.0625,13.6,0.105804,0.091558,,15,114.94,3.266614,pass
keep_vol_mid_or_late_not_adx_20_25,oos,2026-03,16,128.54,3.534806,2,0.125,-11.68,-0.090867,0.0,0.241558,14,140.22,4.971113,pass
keep_vol_mid_or_late_not_adx_20_25,validation,2025-01,31,224.68,3.828298,5,0.16129,65.23,0.290324,0.267172,5.107683,26,159.45,3.508653,pass
keep_vol_mid_or_late_not_adx_20_25,validation,2025-02,31,224.68,3.828298,2,0.064516,15.55,0.06921,0.06369,,29,209.13,3.632553,pass
keep_vol_mid_or_late_not_adx_20_25,validation,2025-03,31,224.68,3.828298,1,0.032258,-1.9,-0.008456,0.0,0.0,30,226.58,3.922105,pass
keep_vol_mid_or_late_not_adx_20_25,validation,2025-05,31,224.68,3.828298,4,0.129032,62.53,0.278307,0.256113,6.121212,27,162.15,3.41187,pass
keep_vol_mid_or_late_not_adx_20_25,validation,2025-06,31,224.68,3.828298,7,0.225806,-17.57,-0.0782,0.0,0.52718,24,242.25,6.729659,pass
keep_vol_mid_or_late_not_adx_20_25,validation,2025-07,31,224.68,3.828298,4,0.129032,5.26,0.023411,0.021544,1.495292,27,219.42,4.188317,pass
keep_vol_mid_or_late_not_adx_20_25,validation,2025-08,31,224.68,3.828298,2,0.064516,26.42,0.117589,0.108212,89.066667,29,198.26,3.505181,pass
keep_vol_mid_or_late_not_adx_20_25,validation,2025-09,31,224.68,3.828298,6,0.193548,69.16,0.307816,0.283268,51.481752,25,155.52,2.992058,pass
