candidate_id,label_name,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,feature_set,feature_count,model,prob_quantile,prob_threshold,session,risk_filter,cooldown_bars,contract_pnl_scale,initial_balance,raw_signal_total,lifecycle_trade_total,overall_signal_to_trade_ratio,scout_clue,meaningful_signal,final_like_reference,dual_positive,rank_score,validation_raw_signal_count,validation_lifecycle_trade_count,validation_signal_to_trade_ratio,oos_raw_signal_count,oos_lifecycle_trade_count,oos_signal_to_trade_ratio,val_net,val_gross_profit,val_gross_loss,val_pf,val_dd_pct,val_trade_count,val_calendar_days,val_calendar_trades_day,val_active_days,val_active_trades_day,val_win_rate,val_avg_win,val_avg_loss,val_payoff,val_expectancy,val_recovery,val_avg_hold_bars,val_avg_mae_contract,val_avg_spread_cost_contract,val_max_consecutive_loss,val_time_under_water_trades,val_smooth_equity_proxy,oos_net,oos_gross_profit,oos_gross_loss,oos_pf,oos_dd_pct,oos_trade_count,oos_calendar_days,oos_calendar_trades_day,oos_active_days,oos_active_trades_day,oos_win_rate,oos_avg_win,oos_avg_loss,oos_payoff,oos_expectancy,oos_recovery,oos_avg_hold_bars,oos_avg_mae_contract,oos_avg_spread_cost_contract,oos_max_consecutive_loss,oos_time_under_water_trades,oos_smooth_equity_proxy
f79b_02044,short_same_h12_tp15_sl10_pessimistic_dd_normalized_q56,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,dd_normalized,0.56,no_external,42,extra_trees_d7_l80,0.68,0.5232145551241465,all,trend_aligned,6,0.08870965974736267,500.0,474,122,0.25738396624472576,0,0,0,1,29662.737413700725,347,88,0.25360230547550433,127,34,0.2677165354330709,1.2774191003620263,48.967732180544196,-47.69031308018217,1.0267857142857144,1.7670964221674583,88,271,0.3247232472324723,53,1.6603773584905661,0.45454545454545453,1.2241933045136049,-0.993548189170462,1.2321428571428572,0.014516126140477571,0.144578313253013,1.4659090909090908,3.0220760108706797,0.10645159169683517,5,69,0,7.380643690980573,22.691930963375366,-15.311287272394795,1.482039397450753,0.9545159388816273,34,194,0.17525773195876287,25,1.36,0.5294117647058824,1.2606628312986314,-0.9569554545246747,1.3173683532895584,0.21707775561707568,1.5464684014869805,1.4705882352941178,2.320879518678563,0.06992408474203882,4,24,0
f79b_02052,short_same_h12_tp15_sl10_pessimistic_dd_normalized_q56,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,dd_normalized,0.56,no_external,42,extra_trees_d7_l80,0.68,0.5232145551241465,cash_mid,trend_aligned,6,0.08870965974736267,500.0,474,122,0.25738396624472576,0,0,0,1,29662.737413700725,347,88,0.25360230547550433,127,34,0.2677165354330709,1.2774191003620263,48.967732180544196,-47.69031308018217,1.0267857142857144,1.7670964221674583,88,271,0.3247232472324723,53,1.6603773584905661,0.45454545454545453,1.2241933045136049,-0.993548189170462,1.2321428571428572,0.014516126140477571,0.144578313253013,1.4659090909090908,3.0220760108706797,0.10645159169683517,5,69,0,7.380643690980573,22.691930963375366,-15.311287272394795,1.482039397450753,0.9545159388816273,34,194,0.17525773195876287,25,1.36,0.5294117647058824,1.2606628312986314,-0.9569554545246747,1.3173683532895584,0.21707775561707568,1.5464684014869805,1.4705882352941178,2.320879518678563,0.06992408474203882,4,24,0
f79b_01935,short_same_h12_tp15_sl10_pessimistic_dd_normalized_q56,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,dd_normalized,0.56,runtime_fill_context,27,logistic_l2_balanced,0.82,0.5692496682091329,all,trend_aligned,0,0.08870965974736267,500.0,168,108,0.6428571428571429,0,0,0,1,29652.6091062986,127,77,0.6062992125984252,41,31,0.7560975609756098,3.3354832065008386,44.070958962489776,-40.735475755988936,1.0818815331010454,2.228386652853749,77,271,0.28413284132841327,22,3.5,0.4675324675324675,1.2241933045136049,-0.9935481891704618,1.2321428571428572,0.04331796372079011,0.2993630573248412,1.9870129870129871,2.1191931262192787,0.1064515916968352,7,51,0,3.690321845490287,18.948383322036662,-15.258061476546377,1.241860465116279,1.4122577831780176,31,194,0.15979381443298968,13,2.3846153846153846,0.4838709677419355,1.263225554802444,-0.9536288422841486,1.3246511627906974,0.11904264017710603,0.5226130653266317,1.6451612903225807,1.7570808154217916,0.06696148509962216,5,24,0
f79b_01943,short_same_h12_tp15_sl10_pessimistic_dd_normalized_q56,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,dd_normalized,0.56,runtime_fill_context,27,logistic_l2_balanced,0.82,0.5692496682091329,cash_mid,trend_aligned,0,0.08870965974736267,500.0,167,107,0.6407185628742516,0,0,0,1,29603.25593497047,127,77,0.6062992125984252,40,30,0.75,3.3354832065008386,44.070958962489776,-40.735475755988936,1.0818815331010454,2.228386652853749,77,271,0.28413284132841327,22,3.5,0.4675324675324675,1.2241933045136049,-0.9935481891704618,1.2321428571428572,0.04331796372079011,0.2993630573248412,1.9870129870129871,2.1191931262192787,0.1064515916968352,7,51,0,2.4129027451282647,17.67096422167464,-15.258061476546377,1.158139534883721,1.4122577831780176,30,194,0.15463917525773196,12,2.5,0.4666666666666667,1.2622117301196172,-0.9536288422841486,1.3235880398671096,0.08043009150427549,0.3417085427135669,1.6666666666666667,1.8050050167661678,0.06741934140799563,5,26,0
f79b_01900,short_same_h12_tp15_sl10_pessimistic_fill_path_net_q60,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,extra_trees_d7_l80,0.68,0.5154614545560378,all,trend_aligned,6,0.08870965974736267,500.0,564,157,0.2783687943262411,0,0,0,1,29520.453722438935,388,107,0.2757731958762887,176,50,0.2840909090909091,0.16411287053262558,58.76127861665304,-58.59716574612041,1.0028006963893725,2.621370445534558,107,271,0.3948339483394834,62,1.7258064516129032,0.4485981308411215,1.2241933045136049,-0.9931723007817018,1.232609189311937,0.001533765145164725,0.012521150592216979,1.439252336448598,3.191831592066952,0.10624432613667778,6,64,0,3.1048380911576903,29.07902646518547,-25.974188374027793,1.1195355191256824,1.9303221961026111,50,194,0.25773195876288657,33,1.5151515151515151,0.46,1.264305498486325,-0.9620069768158442,1.3142373485388446,0.0620967618231538,0.321691176470588,1.34,2.379725332382743,0.07096772779789012,6,45,0
f79b_02128,short_same_h12_tp15_sl10_pessimistic_mae_mfe_asymmetry_q62,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,mae_mfe_asymmetry,0.62,runtime_fill_context,27,logistic_l2_balanced,0.82,0.5417308233370918,all,trend_aligned,6,0.08870965974736267,500.0,283,88,0.31095406360424027,0,0,0,1,29347.150045738643,207,58,0.28019323671497587,76,30,0.39473684210526316,0.03548386389894809,31.829025917353725,-31.79354205345478,1.0011160714285714,1.7422577174382015,58,271,0.2140221402214022,35,1.6571428571428573,0.4482758620689655,1.2241933045136049,-0.9935481891704618,1.2321428571428572,0.0006117907568784153,0.004073319755601165,1.7758620689655173,2.6756821699764677,0.1064515916968352,8,36,0,0.2129031833936712,16.340319325464204,-16.127416142070533,1.0132013201320131,1.8948383322036761,30,194,0.15463917525773196,24,1.25,0.43333333333333335,1.2569476404203235,-0.9486715377688549,1.324955572480325,0.00709677277978904,0.022471910112359522,1.3333333333333333,2.902018239088633,0.06682794367634656,8,25,0
f79b_02449,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,logistic_l2_balanced,0.68,0.5176270521036742,all,none,0,0.08870965974736267,500.0,3394,2529,0.7451384796700059,0,0,0,0,20452.381544574244,1962,1425,0.7262996941896025,1432,1104,0.770949720670391,-92.54014285525365,729.9403384583941,-822.4804813136477,0.8874865179688513,22.45560842980849,1425,271,5.25830258302583,169,8.431952662721894,0.4189473684210526,1.2226806339336584,-0.9933339146300093,1.2308858239165978,-0.06494045112649378,-0.8242051703432102,1.5501754385964912,4.621668688817685,0.10600399699256602,10,1363,0,25.832252918432005,614.0704421861811,-588.2381892677492,1.0439146138243565,9.60282066765202,1104,194,5.690721649484536,112,9.857142857142858,0.4411231884057971,1.2609249326204952,-0.9533844234485401,1.322577652422234,0.023398779817420293,0.5380138568129323,1.423913043478261,5.134891157995847,0.0678419979390383,8,795,0
f79b_02641,short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,logistic_l2_balanced,0.68,0.5186346863956499,all,none,0,0.08870965974736267,500.0,4546,3448,0.7584689837219534,0,0,0,0,17129.636383741905,2674,2028,0.7584143605086013,1872,1420,0.7585470085470085,-107.00780126345109,1053.199225674381,-1160.2070269378323,0.9077683561821893,28.560252374983335,2028,271,7.483394833948339,164,12.365853658536585,0.4240631163708087,1.224650262412071,-0.9933279340221167,1.2328760930474385,-0.05276518799972933,-0.7493477288539787,1.4245562130177514,3.791419363048528,0.1061309596426201,17,1959,0,39.98587913112371,794.7303255514778,-754.7444464203538,1.0529793618499232,6.498869673091792,1420,194,7.319587628865979,117,12.136752136752136,0.4443661971830986,1.2594775365316606,-0.9565835822818173,1.3166413890643258,0.0281590698106505,1.2305487305487295,1.4119718309859155,3.9555456113734015,0.06939032011576272,10,1186,0
f79b_02557,short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,contract_core,37,logistic_l2_balanced,0.82,0.5274022768234379,all,none,0,0.08870965974736267,500.0,3093,2386,0.7714193339799548,0,0,0,0,16858.653527227336,1771,1352,0.7634105025409373,1322,1034,0.7821482602118003,-76.66288795367076,699.1909091001656,-775.8537970538363,0.9011890020455091,21.447334437120084,1352,271,4.988929889298893,153,8.836601307189543,0.4223372781065089,1.224502467776122,-0.9934107516694447,1.2326245369484108,-0.05670331949236003,-0.7148943210489233,1.4792899408284024,3.592596869730136,0.10624162800512545,16,1297,0,-7.442740452803726,557.9154533729056,-565.3581938257095,0.9868353540567977,6.784159938839286,1034,194,5.329896907216495,112,9.232142857142858,0.4284332688588008,1.2594028292842114,-0.9566128491128756,1.3165230118455247,-0.007198008174858535,-0.21941524138291812,1.38394584139265,4.05235677680044,0.0690974467703345,8,978,0
f79b_02649,short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,logistic_l2_balanced,0.68,0.5186346863956499,cash_mid,none,0,0.08870965974736267,500.0,4237,3187,0.7521831484540948,0,0,0,0,16482.012335047497,2460,1853,0.7532520325203252,1777,1334,0.7507034327518289,-113.01344522834754,953.8337615981651,-1066.8472068265128,0.8940678247970278,29.431913491660872,1853,271,6.837638376383764,161,11.509316770186336,0.42039935240151105,1.2244335835663223,-0.993340043600105,1.2326429317484053,-0.06098944696618863,-0.7679653262120951,1.4635725849973016,3.665023076092831,0.10622993723130345,17,1785,0,16.49822251981449,734.6295310726396,-718.131308552825,1.0229738243178141,8.612288606912955,1334,194,6.876288659793815,114,11.701754385964913,0.4370314842578711,1.2600849589582155,-0.9562334334924434,1.317758734241301,0.012367483148286725,0.383132132998228,1.4377811094452773,3.8393055295992746,0.06886103962637853,10,1259,0
f79b_02565,short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,contract_core,37,logistic_l2_balanced,0.82,0.5274022768234379,cash_mid,none,0,0.08870965974736267,500.0,2968,2281,0.7685309973045822,0,0,0,0,15067.449268231598,1682,1279,0.7604042806183116,1286,1002,0.7791601866251944,-79.61425833346553,657.5018045018926,-737.116062835358,0.89199223521568,22.0518020586386,1279,271,4.719557195571956,144,8.881944444444445,0.41985926505082094,1.2243981461860198,-0.9934178744411832,1.2325106862756696,-0.06224727000270956,-0.7220657805812051,1.506645817044566,3.5412979401476874,0.10628998613998504,14,1224,0,-18.602415649021964,534.1590064925621,-552.761422141584,0.9663463930298357,8.444804769309986,1002,194,5.164948453608248,106,9.452830188679245,0.4231536926147705,1.2598089775767973,-0.9563346403833634,1.3173306961585967,-0.018565285078864235,-0.4405647296104856,1.3952095808383234,4.028982923476106,0.06871899989611066,8,953,0
f79b_02457,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,logistic_l2_balanced,0.68,0.5176270521036742,cash_mid,none,0,0.08870965974736267,500.0,3186,2343,0.7354048964218456,0,0,0,0,14376.835138337738,1832,1312,0.7161572052401747,1354,1031,0.7614475627769571,-97.93102887810088,664.958738500256,-762.8897673783567,0.8716314819444528,23.576011432417715,1312,271,4.841328413284133,165,7.951515151515151,0.4146341463414634,1.2223506222431177,-0.993346051273902,1.23053856274511,-0.07464255249855249,-0.8307684203396916,1.59375,4.419053444515995,0.10605807780984612,10,779,0,6.6354825491027185,563.3817426065382,-556.7462600574354,1.0119183244238017,11.114433269747066,1031,194,5.314432989690721,110,9.372727272727273,0.4335596508244423,1.2603618402830832,-0.9533326370846497,1.3220588399630877,0.006435967554900794,0.11940298507462675,1.451988360814743,5.048454690293832,0.06803368376550889,8,1004,0
f79b_01033,long_same_h12_tp15_sl10_pessimistic_mae_mfe_asymmetry_q62,long,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,mae_mfe_asymmetry,0.62,contract_core,37,extra_trees_d7_l80,0.68,0.5158996489173706,all,none,0,0.08870965974736267,500.0,4208,2397,0.5696292775665399,0,0,0,0,13490.537419453307,2476,1406,0.5678513731825525,1732,991,0.5721709006928406,-152.94343727383034,686.4619600230167,-839.405397296847,0.8177955040956885,32.73191283426307,1406,271,5.1881918819188195,135,10.414814814814815,0.3990042674253201,1.2236398574385323,-0.9933791683986355,1.231795367131652,-0.10877911612647961,-0.9345218414105783,1.9011379800853485,3.5285762483813654,0.10629511946627083,14,1398,0,-105.9743337273944,478.15127571446715,-584.1256094418616,0.8185761212752612,25.2648659346878,991,194,5.108247422680412,94,10.542553191489361,0.3834510595358224,1.2582928308275452,-0.9560157274007555,1.3161842371031174,-0.10693676460887426,-0.8389067569275738,1.8375378405650857,3.6610172225725313,0.06936271851507456,12,965,0
f79b_01041,long_same_h12_tp15_sl10_pessimistic_mae_mfe_asymmetry_q62,long,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,mae_mfe_asymmetry,0.62,contract_core,37,extra_trees_d7_l80,0.68,0.5158996489173706,cash_mid,none,0,0.08870965974736267,500.0,4208,2397,0.5696292775665399,0,0,0,0,13490.537419453307,2476,1406,0.5678513731825525,1732,991,0.5721709006928406,-152.94343727383034,686.4619600230167,-839.405397296847,0.8177955040956885,32.73191283426307,1406,271,5.1881918819188195,135,10.414814814814815,0.3990042674253201,1.2236398574385323,-0.9933791683986355,1.231795367131652,-0.10877911612647961,-0.9345218414105783,1.9011379800853485,3.5285762483813654,0.10629511946627083,14,1398,0,-105.9743337273944,478.15127571446715,-584.1256094418616,0.8185761212752612,25.2648659346878,991,194,5.108247422680412,94,10.542553191489361,0.3834510595358224,1.2582928308275452,-0.9560157274007555,1.3161842371031174,-0.10693676460887426,-0.8389067569275738,1.8375378405650857,3.6610172225725313,0.06936271851507456,12,965,0
f79b_02553,short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,contract_core,37,logistic_l2_balanced,0.68,0.5160225780606772,cash_mid,none,0,0.08870965974736267,500.0,4532,3381,0.7460282436010591,0,0,0,0,13344.318446352996,2656,1937,0.7292921686746988,1876,1444,0.7697228144989339,-139.1907787231968,985.1757714835059,-1124.3665502067029,0.8762051586312237,34.23767059881518,1937,271,7.14760147601476,152,12.743421052631579,0.4155911202891069,1.223820834141001,-0.9932566697939071,1.2321294901497457,-0.07185894616582178,-0.8130855650443322,1.4796076406814662,3.6018819327206826,0.1061726852291731,14,1870,0,-13.024352244107801,777.6891999140095,-790.7135521581171,0.9835283558646999,10.03873993565054,1444,194,7.443298969072165,115,12.556521739130435,0.42728531855955676,1.2604363045607934,-0.9561227958381101,1.318278687682507,-0.009019634518080195,-0.25948181400445425,1.3975069252077563,3.9673742766712095,0.06894780147344878,8,1430,0
