queue_id,attempt_name,artifact_slug,stress_axis,scenario_id,severity,source_rows_used,diagnostic_status,scenario_result,view_path,selection_eligible,claim_boundary
run334F_m48_bal_rf_runtime_identity,m48_bal_rf,m48_bal,runtime_parity,runtime_identity,red,4,identity_sources_available,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/runtime_identity_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_cost_plus_1,m48_plain_rf,m48_plain,cost_stress,cost_plus_1,amber,1,cost_survives_diagnostic,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_cost_plus_2,m48_plain_rf,m48_plain,cost_stress,cost_plus_2,amber,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_rolling_worst_curve,m48_plain_rf,m48_plain,curve_pocket,rolling_worst_curve,amber,20,deep_curve_pocket,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/curve_pocket_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_worst_regime_slice,m48_plain_rf,m48_plain,regime_slice,worst_regime_slice,amber,68,loss_regime_slice,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/regime_slice_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_directional_side,m48_plain_rf,m48_plain,direction,directional_side,amber,269,direction_warning,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/direction_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_underwater_stretch,m48_plain_rf,m48_plain,drawdown_shape,underwater_stretch,amber,51,underwater_warning,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/underwater_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_runtime_identity,m48_plain_rf,m48_plain,runtime_parity,runtime_identity,amber,4,identity_sources_available,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/runtime_identity_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_bal_rf_cost_plus_1,u42_bal_rf,u42_bal,cost_stress,cost_plus_1,red,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_bal_rf_cost_plus_2,u42_bal_rf,u42_bal,cost_stress,cost_plus_2,red,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_bal_rf_rolling_worst_curve,u42_bal_rf,u42_bal,curve_pocket,rolling_worst_curve,red,20,deep_curve_pocket,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/curve_pocket_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_bal_rf_worst_regime_slice,u42_bal_rf,u42_bal,regime_slice,worst_regime_slice,red,136,loss_regime_slice,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/regime_slice_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_bal_rf_directional_side,u42_bal_rf,u42_bal,direction,directional_side,red,323,weak_direction_negative,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/direction_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_bal_rf_underwater_stretch,u42_bal_rf,u42_bal,drawdown_shape,underwater_stretch,red,313,long_underwater_stretch,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/underwater_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_bal_rf_runtime_identity,u42_bal_rf,u42_bal,runtime_parity,runtime_identity,red,4,identity_sources_available,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/runtime_identity_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_plain_rf_cost_plus_1,u42_plain_rf,u42_plain,cost_stress,cost_plus_1,amber,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_plain_rf_cost_plus_2,u42_plain_rf,u42_plain,cost_stress,cost_plus_2,amber,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_plain_rf_rolling_worst_curve,u42_plain_rf,u42_plain,curve_pocket,rolling_worst_curve,amber,20,deep_curve_pocket,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/curve_pocket_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_plain_rf_worst_regime_slice,u42_plain_rf,u42_plain,regime_slice,worst_regime_slice,amber,20,loss_regime_slice,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/regime_slice_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_plain_rf_directional_side,u42_plain_rf,u42_plain,direction,directional_side,amber,326,weak_direction_negative,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/direction_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_plain_rf_underwater_stretch,u42_plain_rf,u42_plain,drawdown_shape,underwater_stretch,amber,80,underwater_warning,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/underwater_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_plain_rf_runtime_identity,u42_plain_rf,u42_plain,runtime_parity,runtime_identity,amber,4,identity_sources_available,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/runtime_identity_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
