record_view,candidate_alias,candidate_role,feature_axis,role_scope,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-12,26,-88.07,0.554527,-3.387308,0.423077,141.74,28.348,26,6
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-01,22,56.25,2.062323,2.556818,0.590909,18.04,3.313192,8,3
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-02,23,155.07,2.77955,6.742174,0.608696,44.61,6.472534,6,4
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-03,20,-24.32,0.78276,-1.216,0.45,44.54,8.727515,15,3
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-04,24,-33.63,0.750056,-1.40125,0.458333,70.63,13.409147,20,4
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-05,17,84.31,2.451618,4.959412,0.705882,40.39,7.08261,5,2
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-06,14,-40.35,0.684445,-2.882143,0.428571,77.03,14.706837,7,4
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-07,32,-80.59,0.596222,-2.518438,0.4375,122.07,24.024798,29,5
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-08,40,61.68,1.330617,1.542,0.55,58.99,10.229243,15,2
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-09,34,12.44,1.096636,0.365882,0.558824,59.2,11.762368,31,4
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-10,32,11.17,1.073337,0.349063,0.4375,65.62,11.376758,26,4
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-11,25,55.77,1.39236,2.2308,0.56,55.33,10.879953,13,3
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,month,2024-12,26,-84.54,0.553926,-3.251538,0.423077,135.89,27.178,26,6
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-01,22,56.25,2.062323,2.556818,0.590909,18.04,3.313192,8,3
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-02,23,155.07,2.77955,6.742174,0.608696,44.61,6.472534,6,4
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-03,20,-24.32,0.78276,-1.216,0.45,44.54,8.727515,15,3
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-04,24,-33.63,0.750056,-1.40125,0.458333,70.63,13.409147,20,4
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-05,17,84.31,2.451618,4.959412,0.705882,40.39,7.08261,5,2
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-06,14,-40.35,0.684445,-2.882143,0.428571,77.03,14.706837,7,4
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-07,32,-80.59,0.596222,-2.518438,0.4375,122.07,24.024798,29,5
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-08,40,61.68,1.330617,1.542,0.55,58.99,10.229243,15,2
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-09,34,12.44,1.096636,0.365882,0.558824,59.2,11.762368,31,4
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-10,32,11.17,1.073337,0.349063,0.4375,65.62,11.376758,26,4
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-11,25,55.77,1.39236,2.2308,0.56,55.33,10.879953,13,3
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,month,2024-12,26,-84.54,0.553926,-3.251538,0.423077,135.89,27.178,26,6
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-01,22,56.25,2.062323,2.556818,0.590909,18.04,3.313192,8,3
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-02,23,155.07,2.77955,6.742174,0.608696,44.61,6.472534,6,4
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-03,20,-24.32,0.78276,-1.216,0.45,44.54,8.727515,15,3
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-04,24,-33.63,0.750056,-1.40125,0.458333,70.63,13.409147,20,4
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-05,17,84.31,2.451618,4.959412,0.705882,40.39,7.08261,5,2
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-06,14,-40.35,0.684445,-2.882143,0.428571,77.03,14.706837,7,4
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-07,33,-95.91,0.54691,-2.906364,0.424242,136.62,26.888408,30,6
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-08,40,63.07,1.348742,1.57675,0.55,57.42,9.933053,15,2
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-09,34,12.44,1.098754,0.365882,0.558824,57.62,11.450033,31,4
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-10,33,-5.48,0.966748,-0.166061,0.424242,80.49,13.998017,27,4
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-11,25,53.6,1.395455,2.144,0.56,52.75,10.378751,13,3
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,month,2024-12,26,-82.29,0.548453,-3.165,0.423077,130.46,26.092,26,6
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-01,22,56.25,2.062323,2.556818,0.590909,18.04,3.313192,8,3
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-02,23,155.07,2.77955,6.742174,0.608696,44.61,6.472534,6,4
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-03,20,-24.32,0.78276,-1.216,0.45,44.54,8.727515,15,3
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-04,24,-33.63,0.750056,-1.40125,0.458333,70.63,13.409147,20,4
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-05,17,84.31,2.451618,4.959412,0.705882,40.39,7.08261,5,2
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-06,14,-40.35,0.684445,-2.882143,0.428571,77.03,14.706837,7,4
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-07,33,-95.91,0.54691,-2.906364,0.424242,136.62,26.888408,30,6
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-08,40,63.07,1.348742,1.57675,0.55,57.42,9.933053,15,2
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-09,34,12.44,1.098754,0.365882,0.558824,57.62,11.450033,31,4
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-10,33,-5.48,0.966748,-0.166061,0.424242,80.49,13.998017,27,4
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-11,25,53.6,1.395455,2.144,0.56,52.75,10.378751,13,3
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,month,2024-12,26,-82.29,0.548453,-3.165,0.423077,130.46,26.092,26,6
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-01,25,70.6,2.235129,2.824,0.6,17.52,3.230116,8,3
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-02,25,188.46,3.046699,7.5384,0.64,32.7,4.605958,6,2
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-03,20,-26.41,0.77988,-1.3205,0.45,47.85,9.365825,15,3
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-04,29,-51.89,0.702466,-1.78931,0.448276,81.67,15.453754,25,5
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-05,18,141.32,3.339348,7.851111,0.722222,42.13,7.342791,5,2
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-06,16,-61.15,0.608815,-3.821875,0.375,88.54,17.247156,8,5
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-07,35,-101.06,0.595728,-2.887429,0.428571,150.24,29.530623,32,6
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-08,41,76.87,1.384388,1.874878,0.560976,63.92,10.93098,15,2
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-09,37,2.62,1.016507,0.070811,0.567568,83.88,16.656076,34,4
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-10,33,-6.26,0.965184,-0.189697,0.424242,88.3,15.170779,27,4
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-11,26,36.46,1.214976,1.402308,0.538462,76.54,12.694885,13,3
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,month,2024-12,27,-79.1,0.592919,-2.92963,0.444444,138.86,27.772,27,6
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-01,25,70.6,2.235129,2.824,0.6,17.52,3.230116,8,3
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-02,25,188.46,3.046699,7.5384,0.64,32.7,4.605958,6,2
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-03,20,-26.41,0.77988,-1.3205,0.45,47.85,9.365825,15,3
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-04,29,-51.89,0.702466,-1.78931,0.448276,81.67,15.453754,25,5
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-05,18,141.32,3.339348,7.851111,0.722222,42.13,7.342791,5,2
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-06,16,-61.15,0.608815,-3.821875,0.375,88.54,17.247156,8,5
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-07,35,-101.06,0.595728,-2.887429,0.428571,150.24,29.530623,32,6
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-08,41,76.87,1.384388,1.874878,0.560976,63.92,10.93098,15,2
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-09,37,2.62,1.016507,0.070811,0.567568,83.88,16.656076,34,4
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-10,33,-6.26,0.965184,-0.189697,0.424242,88.3,15.170779,27,4
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-11,26,36.46,1.214976,1.402308,0.538462,76.54,12.694885,13,3
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,month,2024-12,27,-79.1,0.592919,-2.92963,0.444444,138.86,27.772,27,6
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-01,23,50.68,1.886634,2.203478,0.565217,17.52,3.230116,8,3
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-02,24,166.02,2.872124,6.9175,0.625,45.55,6.496841,6,4
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-03,20,-24.91,0.779577,-1.2455,0.45,44.95,8.806473,15,3
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-04,25,-24.87,0.816485,-0.9948,0.48,71.13,13.49741,21,4
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-05,17,86.38,2.45323,5.081176,0.705882,41.75,7.297675,5,2
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-06,14,-41.45,0.683853,-2.960714,0.428571,79.37,15.13395,7,4
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-07,32,-83.4,0.593052,-2.60625,0.4375,125.69,24.720228,29,5
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-08,40,64.76,1.339983,1.619,0.55,60.91,10.474454,15,2
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-09,35,15.07,1.11402,0.430571,0.571429,60.08,11.935317,32,4
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-10,32,11.42,1.073093,0.356875,0.4375,67.03,11.587864,26,4
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-11,25,57.88,1.397637,2.3152,0.56,56.12,11.028574,13,3
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,month,2024-12,26,-87.91,0.549918,-3.381154,0.423077,139.57,27.914,26,6
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-01,23,50.68,1.886634,2.203478,0.565217,17.52,3.230116,8,3
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-02,24,166.02,2.872124,6.9175,0.625,45.55,6.496841,6,4
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-03,20,-24.91,0.779577,-1.2455,0.45,44.95,8.806473,15,3
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-04,25,-24.87,0.816485,-0.9948,0.48,71.13,13.49741,21,4
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-05,17,86.38,2.45323,5.081176,0.705882,41.75,7.297675,5,2
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-06,14,-41.45,0.683853,-2.960714,0.428571,79.37,15.13395,7,4
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-07,32,-83.4,0.593052,-2.60625,0.4375,125.69,24.720228,29,5
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-08,40,64.76,1.339983,1.619,0.55,60.91,10.474454,15,2
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-09,35,15.07,1.11402,0.430571,0.571429,60.08,11.935317,32,4
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-10,32,11.42,1.073093,0.356875,0.4375,67.03,11.587864,26,4
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-11,25,57.88,1.397637,2.3152,0.56,56.12,11.028574,13,3
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,month,2024-12,26,-87.91,0.549918,-3.381154,0.423077,139.57,27.914,26,6
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-01,24,86.66,2.568507,3.610833,0.625,19.11,3.282257,9,3
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-02,25,159.06,2.412235,6.3624,0.6,66.72,9.333818,6,5
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-03,19,-27.94,0.760726,-1.470526,0.421053,59.14,11.581318,14,2
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-04,27,33.24,1.222297,1.231111,0.518519,79.04,13.647351,22,4
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-05,19,57.19,1.536089,3.01,0.631579,46.43,7.992082,5,2
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-06,14,-47.52,0.66697,-3.394286,0.428571,84.14,16.100576,7,4
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-07,31,-82.56,0.576202,-2.663226,0.451613,156.23,30.707996,28,5
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-08,38,14.97,1.074813,0.393947,0.526316,48.13,8.955752,11,3
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-09,34,8.47,1.064548,0.249118,0.558824,58.02,11.526084,31,3
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,month,2024-10,32,28.88,1.206109,0.9025,0.46875,62.51,10.754594,25,4
