run_id,source_run_id,model_id,label_id,horizon_m5,policy_id,threshold_id,validation_net,oos_net,validation_profit_factor,oos_profit_factor,validation_trade_density,oos_trade_density,density_gap_to_3_per_day,validation_trade_count,oos_trade_count,validation_expectancy,oos_expectancy,oos_max_drawdown,selection_score,review_class,why,claim_boundary
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_8_0,-330.757,9.993,0.7420599827,1.0097414751,1.4316939891,1.641221374,1.5683060109,262,215,-1.2624312977,0.0464790698,-129.357,-106.745426118,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_12_0,-376.36,-0.471,0.7804793688,0.9996396079,2.043715847,2.1984732824,0.956284153,374,288,-1.0063101604,-0.0016354167,-174.3,-135.148633588,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_3_0,-38.571,261.51,0.9432820282,2.1686970978,0.6229508197,0.4809160305,2.5190839695,114,63,-0.3383421053,4.150952381,-77.974,387.0204618885,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_5_0,34.079,102.622,1.0370943637,1.1755836992,0.9234972678,0.8625954198,2.1374045802,169,113,0.2016508876,0.908159292,-151.895,131.395528834,net_positive_pf_weak,"net positive(순수익 양수), PF weak(수익 팩터 약함)",research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_8_0,-142.583,80.244,0.8910966636,1.0923772959,1.2786885246,1.2595419847,1.7404580153,234,165,-0.6093290598,0.4863272727,-102.055,45.1245731675,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_12_0,-232.318,374.994,0.8626968667,1.3681190094,1.7650273224,1.9083969466,1.2349726776,323,250,-0.719250774,1.499976,-145.08,342.239934282,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_3_0,23.589,75.628,1.0443037499,1.2740909602,0.5519125683,0.6488549618,2.4480874317,101,85,0.2335544554,0.8897411765,-55.665,115.566140033,net_positive_pf_weak,"net positive(순수익 양수), PF weak(수익 팩터 약함)",research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_5_0,-0.018,102.593,0.9999795913,1.206210868,0.9289617486,0.9923664122,2.0710382514,170,130,-0.0001058824,0.7891769231,-72.978,126.455596221,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_8_0,101.147,129.039,1.0970733182,1.1721796425,1.349726776,1.5496183206,1.650273224,247,203,0.4095020243,0.6356600985,-168.388,179.379058703,profit_pf_pass_density_fail,"profit and PF pass(순수익과 수익 팩터 통과), density fail(밀도 실패)",research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_12_0,-30.154,10.158,0.9795340491,1.0091797175,1.9945355191,2.1145038168,1.0054644809,365,277,-0.0826136986,0.0366714801,-160.401,-1.553894816,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_3_0,-66.204,201.829,0.8590738604,1.6270883111,0.6284153005,0.6641221374,2.3715846995,115,87,-0.5756869565,2.3198735632,-69.296,251.685128019,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_5_0,-94.653,63.478,0.8884456188,1.0963567559,1.0546448087,1.1603053435,1.9453551913,193,152,-0.4904300518,0.4176184211,-161.685,34.7789874255,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_8_0,-257.407,103.328,0.8088829161,1.1097361524,1.6010928962,1.6717557252,1.3989071038,293,219,-0.8785221843,0.4718173516,-95.6,27.114666914,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_12_0,-344.024,32.321,0.7971979905,1.0241727882,2.1147540984,2.2824427481,0.8852459016,387,299,-0.8889509044,0.10809699,-220.12,-91.3840516755,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_3_0,-76.83,164.171,0.8823758156,1.676408059,0.5737704918,0.4580152672,2.5419847328,105,60,-0.7317142857,2.7361833333,-97.174,216.601987052,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_5_0,-108.304,207.936,0.881168217,1.4950986812,0.8579234973,0.7328244275,2.2671755725,157,96,-0.6898343949,2.166,-85.611,231.7405548495,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_8_0,20.913,249.671,1.0176930431,1.3562174077,1.2240437158,1.1832061069,1.8167938931,224,155,0.0933616071,1.6107806452,-129.775,302.1184955455,net_positive_pf_weak,"net positive(순수익 양수), PF weak(수익 팩터 약함)",research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_12_0,23.082,-5.725,1.0151283769,0.9952235703,1.7704918033,1.8625954198,1.2295081967,324,244,0.0712407407,-0.0234631148,-134.405,8.342848528,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_3_0,11.391,22.457,1.0229254214,1.0857949509,0.5191256831,0.4503816794,2.5496183206,95,59,0.1199052632,0.3806271186,-57.65,34.379152505,net_positive_pf_weak,"net positive(순수익 양수), PF weak(수익 팩터 약함)",research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_5_0,-40.569,64.445,0.9497894123,1.1185773296,0.8579234973,0.9923664122,2.1420765027,157,130,-0.2584012739,0.4957307692,-84.375,62.686961613,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_8_0,150.895,-45.804,1.1471464443,0.9494042819,1.3770491803,1.6259541985,1.6229508197,252,213,0.5987896825,-0.2150422535,-159.486,2.3801409925,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_12_0,30.022,-123.785,1.0215662273,0.9036700104,1.9617486339,2.3053435115,1.0382513661,359,302,0.0836267409,-0.409884106,-257.892,-122.3819424425,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_3_0,-31.589,161.878,0.9317490429,1.4988766815,0.6284153005,0.6717557252,2.3715846995,115,88,-0.2746869565,1.8395227273,-78.022,207.804070406,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_5_0,-115.893,112.565,0.8578443037,1.1958551404,0.9836065574,1.0916030534,2.0163934426,180,143,-0.64385,0.7871678322,-113.68,91.868682115,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_8_0,-299.984,-42.896,0.7888522098,0.9585045543,1.5683060109,1.6870229008,1.4316939891,287,221,-1.0452404181,-0.1940995475,-219.975,-157.053285496,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_12_0,-283.242,33.635,0.8285034421,1.0251063484,2.1475409836,2.2595419847,0.8524590164,393,296,-0.7207175573,0.1136317568,-170.7,-64.8452282685,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,dense_h6_move3pts,6,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_3_0,-360.637,18.472,0.5955047988,1.0358213586,0.7267759563,0.9160305344,2.2732240437,133,120,-2.711556391,0.1539333333,-74.037,-102.424060275,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,dense_h6_move3pts,6,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_5_0,-530.063,82.598,0.605699421,1.0927912069,1.2732240437,1.9007633588,1.7267759563,233,249,-2.2749484979,0.3317188755,-142.86,-89.803473853,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,dense_h6_move3pts,6,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_8_0,-597.186,125.923,0.6598848981,1.1000855221,1.9781420765,2.8244274809,1.0218579235,362,370,-1.6496850829,0.3403324324,-135.145,-63.2043708095,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,dense_h6_move3pts,6,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_12_0,-724.8,20.135,0.6841508023,1.0109900966,2.868852459,4.1908396947,0.131147541,525,549,-1.3805714286,0.0366757741,-159.609,-218.3996842935,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,dense_h6_move3pts,6,long_only_margin,long_only_margin__validation_density_3_0,-172.293,46.127,0.7263213908,1.1122505348,0.8142076503,1.1679389313,2.1857923497,149,153,-1.1563288591,0.3014836601,-56.2,0.6382088325,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,dense_h6_move3pts,6,long_only_margin,long_only_margin__validation_density_5_0,-289.037,90.458,0.6969337607,1.1481827311,1.393442623,1.8320610687,1.606557377,255,240,-1.1334784314,0.3769083333,-77.35,10.0492830755,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__dense_h6_move3pts__lr_balanced_c0_40,dense_h6_move3pts,6,long_only_margin,long_only_margin__validation_density_8_0,-185.455,-56.379,0.8517651422,0.9401938061,2.1256830601,2.6259541985,0.8743169399,389,344,-0.476748072,-0.1638924419,-171.342,-121.8658390075,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
