record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,tier_scope,status,base_net_profit,p0_net_profit,net_profit_delta,base_profit_factor,p0_profit_factor,profit_factor_delta,base_trade_count,p0_trade_count,trade_count_delta,base_dd_percent,p0_dd_percent,dd_percent_delta,base_recovery_factor,p0_recovery_factor,recovery_factor_delta,review_label
mt5_rt_s262_lih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,44.49,140.02,95.53,1.02,1.1,0.08,352,339,-13,40.13,27.5,-12.63,0.13,0.68,0.55,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s262_lih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,44.49,380.99,336.5,1.02,1.33,0.31,352,313,-39,40.13,18.05,-22.08,0.13,2.79,2.66,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_rt_s262_lih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,44.49,380.99,336.5,1.02,1.33,0.31,352,313,-39,40.13,18.05,-22.08,0.13,2.79,2.66,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_ta_s264_aia_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,87.07,408.29,321.22,1.05,1.35,0.3,354,315,-39,36.9,15.85,-21.05,0.28,3.42,3.14,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_rt_s264_aia_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,87.07,408.29,321.22,1.05,1.35,0.3,354,315,-39,36.9,15.85,-21.05,0.28,3.42,3.14,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_ta_s264_aia_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,87.07,176.35,89.28,1.05,1.13,0.08,354,340,-14,36.9,25.47,-11.43,0.28,0.91,0.63,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s264_aia_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,87.07,176.35,89.28,1.05,1.13,0.08,354,340,-14,36.9,25.47,-11.43,0.28,0.91,0.63,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s264_aia_abl_session_timing_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,87.07,365.09,278.02,1.05,1.23,0.18,354,332,-22,36.9,18.53,-18.37,0.28,2.05,1.77,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_rt_s264_aia_abl_session_timing_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,87.07,365.09,278.02,1.05,1.23,0.18,354,332,-22,36.9,18.53,-18.37,0.28,2.05,1.77,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_ta_s264_aia_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,87.07,176.35,89.28,1.05,1.13,0.08,354,340,-14,36.9,25.47,-11.43,0.28,0.91,0.63,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s264_aia_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,87.07,176.35,89.28,1.05,1.13,0.08,354,340,-14,36.9,25.47,-11.43,0.28,0.91,0.63,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s264_aia_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,87.07,408.29,321.22,1.05,1.35,0.3,354,315,-39,36.9,15.85,-21.05,0.28,3.42,3.14,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_rt_s264_aia_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,87.07,408.29,321.22,1.05,1.35,0.3,354,315,-39,36.9,15.85,-21.05,0.28,3.42,3.14,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_ta_s258_stc_abl_price_return_range_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,102.89,265.82,162.93,1.05,1.19,0.14,378,335,-43,40.43,27.03,-13.4,0.28,1.19,0.91,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s258_stc_abl_price_return_range_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,102.89,265.82,162.93,1.05,1.19,0.14,378,335,-43,40.43,27.03,-13.4,0.28,1.19,0.91,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s258_stc_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,102.89,442.13,339.24,1.05,1.33,0.28,378,335,-43,40.43,19.33,-21.1,0.28,2.85,2.57,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_rt_s258_stc_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,102.89,442.13,339.24,1.05,1.33,0.28,378,335,-43,40.43,19.33,-21.1,0.28,2.85,2.57,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_ta_s258_stc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,102.89,195.44,92.55,1.05,1.12,0.07,378,364,-14,40.43,31.04,-9.39,0.28,0.76,0.48,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s258_stc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,102.89,195.44,92.55,1.05,1.12,0.07,378,364,-14,40.43,31.04,-9.39,0.28,0.76,0.48,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s258_stc_abl_session_timing_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,102.89,317.33,214.44,1.05,1.18,0.13,378,354,-24,40.43,25.5,-14.93,0.28,1.39,1.11,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s258_stc_abl_session_timing_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,102.89,317.33,214.44,1.05,1.18,0.13,378,354,-24,40.43,25.5,-14.93,0.28,1.39,1.11,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s258_stc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,102.89,195.44,92.55,1.05,1.12,0.07,378,364,-14,40.43,31.04,-9.39,0.28,0.76,0.48,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s258_stc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,102.89,195.44,92.55,1.05,1.12,0.07,378,364,-14,40.43,31.04,-9.39,0.28,0.76,0.48,constructive_but_not_enough(건설적이나 충분하지 않음)
