record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,queue_id,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary
mt5_ta_s264_lc_abl_gate_variant_rule_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1227.99,1.24,516,2.38,421.07,22.97,2.92,901,901,0,59283,11651,11651,run267N_06_s264_lc_abl_gate_variant_rule,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거)
mt5_rt_s264_lc_abl_gate_variant_rule_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,1227.99,1.24,516,2.38,421.07,22.97,2.92,901,901,0,59283,11651,11651,run267N_06_s264_lc_abl_gate_variant_rule,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거)
mt5_ta_s264_lc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,162.73,1.12,337,0.48,196.34,26.15,0.83,585,585,0,59283,11651,11651,run267N_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_lc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,162.73,1.12,337,0.48,196.34,26.15,0.83,585,585,0,59283,11651,11651,run267N_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_lc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,162.73,1.12,337,0.48,196.34,26.15,0.83,585,585,0,59283,11651,11651,run267N_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_lc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,162.73,1.12,337,0.48,196.34,26.15,0.83,585,585,0,59283,11651,11651,run267N_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_lc_rep_volatility_atr_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,396.18,1.34,312,1.27,126.96,16.81,3.12,556,556,0,59283,11651,11651,run267N_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_lc_rep_volatility_atr_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,396.18,1.34,312,1.27,126.96,16.81,3.12,556,556,0,59283,11651,11651,run267N_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,-51.96,0.97,352,-0.15,348.95,45.33,-0.15,607,607,0,59283,11651,11651,run267N_10_s262_lih_abl_gate_rank_bucket,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거)
mt5_rt_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,-51.96,0.97,352,-0.15,348.95,45.33,-0.15,607,607,0,59283,11651,11651,run267N_10_s262_lih_abl_gate_rank_bucket,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거)
mt5_ta_s262_lih_abl_ma_trend_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,98.52,1.07,345,0.29,245.66,31.12,0.4,597,597,0,59283,11651,11651,run267N_11_s262_lih_abl_ma_trend,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_ma_trend,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s262_lih_abl_ma_trend_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,98.52,1.07,345,0.29,245.66,31.12,0.4,597,597,0,59283,11651,11651,run267N_11_s262_lih_abl_ma_trend,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_ma_trend,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s262_lih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,140.02,1.1,339,0.41,206.47,27.5,0.68,588,588,0,59283,11651,11651,run267N_12_s262_lih_abl_trend_strength_direction,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s262_lih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,140.02,1.1,339,0.41,206.47,27.5,0.68,588,588,0,59283,11651,11651,run267N_12_s262_lih_abl_trend_strength_direction,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s262_lih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,140.02,1.1,339,0.41,206.47,27.5,0.68,588,588,0,59283,11651,11651,run267N_13_s262_lih_rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s262_lih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,140.02,1.1,339,0.41,206.47,27.5,0.68,588,588,0,59283,11651,11651,run267N_13_s262_lih_rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s262_lih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,380.99,1.33,313,1.22,136.32,18.05,2.79,558,558,0,59283,11651,11651,run267N_14_s262_lih_rep_volatility_atr,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s262_lih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,380.99,1.33,313,1.22,136.32,18.05,2.79,558,558,0,59283,11651,11651,run267N_14_s262_lih_rep_volatility_atr,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aia_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,408.29,1.35,315,1.3,119.31,15.85,3.42,562,562,0,59283,11651,11651,run267N_15_s264_aia_abl_volatility_bandwidth,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,408.29,1.35,315,1.3,119.31,15.85,3.42,562,562,0,59283,11651,11651,run267N_15_s264_aia_abl_volatility_bandwidth,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aia_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,176.35,1.13,340,0.52,193.74,25.47,0.91,591,591,0,59283,11651,11651,run267N_16_s264_aia_abl_trend_strength_direction,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,176.35,1.13,340,0.52,193.74,25.47,0.91,591,591,0,59283,11651,11651,run267N_16_s264_aia_abl_trend_strength_direction,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aia_abl_session_timing_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,365.09,1.23,332,1.1,177.91,18.53,2.05,590,590,0,59283,11651,11651,run267N_17_s264_aia_abl_session_timing,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_abl_session_timing_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,365.09,1.23,332,1.1,177.91,18.53,2.05,590,590,0,59283,11651,11651,run267N_17_s264_aia_abl_session_timing,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aia_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,176.35,1.13,340,0.52,193.74,25.47,0.91,591,591,0,59283,11651,11651,run267N_18_s264_aia_rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,176.35,1.13,340,0.52,193.74,25.47,0.91,591,591,0,59283,11651,11651,run267N_18_s264_aia_rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s264_aia_rep_volatility_atr_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,408.29,1.35,315,1.3,119.31,15.85,3.42,562,562,0,59283,11651,11651,run267N_19_s264_aia_rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s264_aia_rep_volatility_atr_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,408.29,1.35,315,1.3,119.31,15.85,3.42,562,562,0,59283,11651,11651,run267N_19_s264_aia_rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s258_stc_abl_price_return_range_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,265.82,1.19,335,0.79,224.0,27.03,1.19,581,581,0,59283,11651,11651,run267N_20_s258_stc_abl_price_return_range,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s258_stc_abl_price_return_range_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,265.82,1.19,335,0.79,224.0,27.03,1.19,581,581,0,59283,11651,11651,run267N_20_s258_stc_abl_price_return_range,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s258_stc_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,442.13,1.33,335,1.32,154.89,19.33,2.85,594,594,0,59283,11651,11651,run267N_21_s258_stc_abl_volatility_bandwidth,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s258_stc_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,442.13,1.33,335,1.32,154.89,19.33,2.85,594,594,0,59283,11651,11651,run267N_21_s258_stc_abl_volatility_bandwidth,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s258_stc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,195.44,1.12,364,0.54,258.01,31.04,0.76,628,628,0,59283,11651,11651,run267N_22_s258_stc_abl_trend_strength_direction,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s258_stc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,195.44,1.12,364,0.54,258.01,31.04,0.76,628,628,0,59283,11651,11651,run267N_22_s258_stc_abl_trend_strength_direction,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s258_stc_abl_session_timing_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,317.33,1.18,354,0.9,227.76,25.5,1.39,625,625,0,59283,11651,11651,run267N_23_s258_stc_abl_session_timing,s258_short_tight_control,s258_stc,stress_challenger,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s258_stc_abl_session_timing_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,317.33,1.18,354,0.9,227.76,25.5,1.39,625,625,0,59283,11651,11651,run267N_23_s258_stc_abl_session_timing,s258_short_tight_control,s258_stc,stress_challenger,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_ta_s258_stc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,195.44,1.12,364,0.54,258.01,31.04,0.76,628,628,0,59283,11651,11651,run267N_24_s258_stc_rep_trend_strength_adx,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
mt5_rt_s258_stc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,195.44,1.12,364,0.54,258.01,31.04,0.76,628,628,0,59283,11651,11651,run267N_24_s258_stc_rep_trend_strength_adx,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)"
