candidate_id,candidate_label,split,enabled_surfaces,thresholds,entry_permission_rule,abstention_rule,fallback_rule,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,validation_trade_count,oos_trade_count,no_trade_rate,abstention_rate,thinning_ratio_vs_reference,long_count,short_count,candidate_rejection_reason,net_profit,profit_factor,max_drawdown,expectancy,win_rate,trade_count,order_attempt_count,fill_count,tier_a_used_count_mt5,tier_b_fallback_used_count_mt5,actual_routed_total_count_mt5,tester_report_path
c06_permission_tail,permission + tail pressure,validation_is,permission+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,4248,777,5025,5025,,0.588452,0,0.570698,2722,2303,validation_net_not_positive;validation_pf_below_1_05;oos_pf_below_1_05,-337.35,0.88,386.05,-0.32,42.78,1059,1503,1503,4248,777,1503,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c06_permission_tail_validation_is.htm
c06_permission_tail,permission + tail pressure,oos,permission+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,3292,438,3730,,3730,0.568587,0,0.563359,1972,1758,validation_net_not_positive;validation_pf_below_1_05;oos_pf_below_1_05,92.1,1.04,388.57,0.12,48.73,747,1091,1091,3292,438,1091,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c06_permission_tail_oos.htm
c07_permission_ebm,permission + EBM direction,validation_is,permission+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,3587,440,4027,4027,,0.670188,0,0.457354,2764,1263,validation_net_not_positive;oos_net_not_positive;validation_pf_below_1_05;oos_pf_below_1_05,-140.66,0.95,368.13,-0.19,48.34,751,1286,1286,3587,440,1286,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c07_permission_ebm_validation_is.htm
c07_permission_ebm,permission + EBM direction,oos,permission+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,2846,294,3140,,3140,0.636826,0,0.474249,2104,1036,validation_net_not_positive;oos_net_not_positive;validation_pf_below_1_05;oos_pf_below_1_05,-3.69,1,265.62,-0.01,51.29,544,941,941,2846,294,941,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c07_permission_ebm_oos.htm
c08_permission_abstention_entropy,permission + abstention + entropy,validation_is,permission+abstention+entropy,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,5083,423,5506,5506,,0.549058,0.219247,0.625327,2911,2595,validation_net_not_positive;validation_pf_below_1_05,-3.6,1,474.94,0,43.53,1291,1769,1769,5083,423,1769,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c08_permission_abstention_entropy_validation_is.htm
c08_permission_abstention_entropy,permission + abstention + entropy,oos,permission+abstention+entropy,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,3984,298,4282,,4282,0.504742,0.175573,0.64673,2253,2029,validation_net_not_positive;validation_pf_below_1_05,232.73,1.08,369.69,0.25,48.96,915,1282,1282,3984,298,1282,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c08_permission_abstention_entropy_oos.htm
c09_permission_abstention_tail,permission + abstention + tail pressure,validation_is,permission+abstention+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,3464,434,3898,3898,,0.680753,0.219247,0.442703,2305,1593,validation_net_not_positive;validation_pf_below_1_05,-381.33,0.85,502.25,-0.4,41.86,946,1369,1369,3464,434,1369,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c09_permission_abstention_tail_validation_is.htm
c09_permission_abstention_tail,permission + abstention + tail pressure,oos,permission+abstention+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,2704,279,2983,,2983,0.654985,0.175573,0.450536,1713,1270,validation_net_not_positive;validation_pf_below_1_05,130.93,1.06,306.16,0.2,49.7,662,995,995,2704,279,995,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c09_permission_abstention_tail_oos.htm
c10_permission_abstention_ebm,permission + abstention + EBM direction,validation_is,permission+abstention+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,3123,272,3395,3395,,0.721949,0.219247,0.385576,2375,1020,validation_net_not_positive;oos_net_not_positive;validation_pf_below_1_05;oos_pf_below_1_05,-196.71,0.93,374.7,-0.28,48.13,696,1200,1200,3123,272,1200,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c10_permission_abstention_ebm_validation_is.htm
c10_permission_abstention_ebm,permission + abstention + EBM direction,oos,permission+abstention+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,2502,182,2684,,2684,0.689567,0.175573,0.405377,1841,843,validation_net_not_positive;oos_net_not_positive;validation_pf_below_1_05;oos_pf_below_1_05,-173.6,0.92,310.12,-0.34,52.46,509,889,889,2502,182,889,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c10_permission_abstention_ebm_oos.htm
c11_permission_entropy_tail,permission + entropy + tail pressure,validation_is,permission+entropy+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,2486,557,3043,3043,,0.750778,0,0.345599,1740,1303,validation_net_not_positive;validation_pf_below_1_05,-294.18,0.86,489.35,-0.38,44.04,772,1197,1197,2486,557,1197,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c11_permission_entropy_tail_validation_is.htm
c11_permission_entropy_tail,permission + entropy + tail pressure,oos,permission+entropy+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,1908,290,2198,,2198,0.745778,0,0.331974,1294,904,validation_net_not_positive;validation_pf_below_1_05,198.2,1.12,336.34,0.36,52.08,553,871,871,1908,290,871,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c11_permission_entropy_tail_oos.htm
c12_permission_entropy_ebm,permission + entropy + EBM direction,validation_is,permission+entropy+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,2806,325,3131,3131,,0.743571,0,0.355593,2115,1016,validation_net_not_positive;oos_net_not_positive;validation_pf_below_1_05;oos_pf_below_1_05,-0.27,1,432.18,0,49.33,669,1175,1175,2806,325,1175,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c12_permission_entropy_ebm_validation_is.htm
c12_permission_entropy_ebm,permission + entropy + EBM direction,oos,permission+entropy+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,2221,216,2437,,2437,0.718136,0,0.368071,1619,818,validation_net_not_positive;oos_net_not_positive;validation_pf_below_1_05;oos_pf_below_1_05,-19.27,0.99,289.65,-0.04,53.32,467,839,839,2221,216,839,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c12_permission_entropy_ebm_oos.htm
c13_permission_tail_ebm,permission + tail pressure + EBM direction,validation_is,permission+tail+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,1890,346,2236,2236,,0.816871,0,0.253947,1768,468,oos_net_not_positive;oos_pf_below_1_05,109.42,1.07,167.22,0.23,51.67,478,895,895,1890,346,895,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c13_permission_tail_ebm_validation_is.htm
c13_permission_tail_ebm,permission + tail pressure + EBM direction,oos,permission+tail+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,1512,174,1686,,1686,0.804997,0,0.254644,1378,308,oos_net_not_positive;oos_pf_below_1_05,-211.51,0.86,529.2,-0.62,50.88,340,631,631,1512,174,631,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c13_permission_tail_ebm_oos.htm
