run_id,trade_index,entry_time,exit_time,side,net_profit_after_cost,balance_after,closed_balance_drawdown_amount,closed_balance_drawdown_percent,hold_m5_calendar,claim_boundary
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,47,2025-01-15T19:15:00,2025-01-15T19:45:00,long,4.38,440.38,57.51,11.550744,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,48,2025-01-15T19:50:00,2025-01-15T20:25:00,long,0.89,441.27,56.62,11.37199,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,52,2025-01-16T19:30:00,2025-01-16T20:00:00,long,-3.65,441.66,56.23,11.293659,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,41,2025-01-14T17:05:00,2025-01-14T17:35:00,long,-2.31,442.05,55.84,11.215329,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,50,2025-01-16T18:20:00,2025-01-16T18:50:00,long,-5.66,442.17,55.72,11.191227,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,45,2025-01-15T17:50:00,2025-01-15T18:20:00,long,-0.68,443.23,54.66,10.978329,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,44,2025-01-14T20:55:00,2025-01-14T21:30:00,long,-2.15,443.91,53.98,10.841752,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,40,2025-01-13T21:55:00,2025-01-14T16:55:00,long,12.13,444.36,53.53,10.751371,228,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,51,2025-01-16T18:55:00,2025-01-16T19:25:00,long,3.14,445.31,52.58,10.560566,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,43,2025-01-14T20:15:00,2025-01-14T20:50:00,long,10.96,446.06,51.83,10.40993,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,188,2025-04-07T19:20:00,2025-04-07T19:50:00,long,-1.01,586.27,67.67,10.348044,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,187,2025-04-07T18:45:00,2025-04-07T19:15:00,long,-23.95,587.28,66.66,10.193596,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,49,2025-01-16T17:35:00,2025-01-16T18:15:00,long,6.56,447.83,50.06,10.05443,8,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,192,2025-04-08T18:35:00,2025-04-08T19:05:00,short,-0.66,593.64,60.3,9.221029,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,57,2025-01-21T17:20:00,2025-01-21T17:30:00,short,-3.61,452.08,45.81,9.200827,2,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
